Тикер,Стратегия,TF,AllowShort,Период начало,Период окончание,"Доходность, %","Макс. просадка, %",Sharpe,Sortino,"Волатильность, %",Дней
SBER,Equity_Engulfing (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,281.29,55.46,0.6,0.57,26.69,2759.0
SBER,Equity_HammerDoji (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-47.64,71.62,-0.12,-0.12,24.46,2759.0
SBER,Equity_Harami (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-48.19,71.92,-0.06,-0.05,28.59,2759.0
SBER,Equity_CandleEnsemble_win5_v2 (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,159.16,39.02,0.5,0.54,22.62,2759.0
SBER,Equity_TrendlineBreakout (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,350.0,33.05,0.78,0.82,20.25,2759.0
SBER,Equity_TrendlineRetest (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,132.85,39.51,0.51,0.48,18.68,2759.0
SBER,Equity_BreakoutPivot (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,18.62,71.48,0.2,0.17,25.8,2759.0
SBER,Equity_BreakoutOLSPivot (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,68.88,65.98,0.32,0.26,25.64,2759.0
SBER,Equity_RetestPivot (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-4.16,70.88,0.12,0.09,24.52,2759.0
SBER,Equity_RetestOLSPivot (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,28.96,63.64,0.23,0.17,24.57,2759.0
SBER,Equity_ARIMA_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-64.64,88.29,-0.12,-0.13,32.63,2759.0
SBER,Equity_GARCH_VolTarget (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,751.62,53.07,0.86,1.21,27.14,2759.0
SBER,Equity_TGARCH_VolTarget (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,807.45,55.39,0.93,1.32,25.11,2759.0
SBER,Equity_VAR_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-49.53,78.85,-0.02,-0.03,32.51,2759.0
SBER,Equity_VARMAX_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,359.26,73.06,0.59,0.7,32.98,2759.0
SBER,Equity_ImprovedVAR_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-49.53,78.85,-0.02,-0.03,32.51,2759.0
SBER,Equity_ExpSmoothing_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-2.0,75.48,0.18,0.2,35.87,2759.0
SBER,Equity_ES_Signal (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-12.42,75.24,0.11,0.15,30.84,2759.0
SBER,Equity_DDM_Gordon (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,49.43,73.81,0.28,0.22,26.45,2759.0
SBER,Equity_DividendYield (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-52.94,67.74,-0.34,-0.06,16.0,2759.0
SBER,Equity_DCF_TwoStage (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,0.0,0.0,,,0.0,2759.0
SBER,Equity_DCF_MultiStage (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,0.0,0.0,,,0.0,2759.0
SBER,Equity_MultipleRegression (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,0.0,0.0,,,0.0,2759.0
SBER,Equity_EPSGrowth (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,2.86,73.81,0.14,0.09,23.19,2759.0
SBER,Equity_ROE (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,8.99,73.81,0.16,0.1,23.12,2759.0
SBER,Equity_NetProfit (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,2.86,73.81,0.14,0.09,23.19,2759.0
SBER,Equity_RelValuation_PE (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,80.85,38.85,0.42,0.29,15.89,2759.0
SBER,Equity_RelValuation_PB (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,16.62,32.04,0.2,0.12,8.77,2759.0
SBER,Equity_MultTrend_PE (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,0.0,0.0,,,0.0,2759.0
SBER,Equity_ComplexScoring (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,0.0,0.0,,,0.0,2759.0
SBER,Equity_PriceDisconnect (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,-8.82,73.81,0.09,0.05,22.73,2759.0
SBER,BuyHold_IMOEX,,,2014-01-06 00:00:00,2024-12-30 00:00:00,96.64,55.29,0.39,0.42,23.51,2759.0
