Тикер,Стратегия,Таймфрейм,AllowShort,Pyramiding,Initial Account Size,Entry %,Дата начала,Дата окончания,Параметры стратегии,Количество сигналов,Количество сделок,Прибыльных сделок,Убыточных сделок,Процент прибыльных сделок,Средняя прибыль,Средний убыток,Среднее время удержания (дней),Среднее время удержания (часов),Макс. просадка (%),Макс. прибыль по сделке,Макс. убыток по сделке,Процент роста,Sharpe,Sortino,Std. return,Reward/Risk
SBER,VARMAX_Signal,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_train"":252,""refit_every"":20,""max_lags"":5}",57,57,30,27,52.63,337216.29,-300850.94,72.25,,73.06,1982933.8799999997,-1464552.6799999997,199.35,0.44,0.52,0.0199,0.01
SBER,ImprovedVAR_Signal,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_train"":252,""refit_every"":20,""max_lags"":5}",1169,1169,572,592,48.93,8826.29,-9260.49,3.52,,78.85,119994.11999999997,-224105.15999999997,-43.36,0.02,0.02,0.0196,0.0
SBER,ExpSmoothing_Signal,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_train"":252,""refit_every"":20,""damped"":false}",6,6,3,3,50.0,279446.03,-233143.66,686.33,,75.48,703504.2,-673497.4999999999,13.89,0.21,0.23,0.0215,0.01
SBER,ES_Signal,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_train"":252,""window"":63,""confidence"":0.95,""low_q"":0.33,""high_q"":0.67}",25,25,11,14,44.0,107855.85,-103243.36,172.08,,75.24,463774.95000000007,-372062.9,-25.9,0.07,0.09,0.0186,0.0
SBER,DDM_Gordon,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},10,1,1,0,100.0,736602.72,0.0,2663.0,,73.81,736602.72,736602.72,73.66,0.31,0.26,0.0161,0.01
SBER,DividendYield,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},12,1,0,1,0.0,0.0,-529442.92,184.0,,67.74,-529442.92,-529442.92,-52.94,-0.31,-0.06,0.0094,-0.0
SBER,DCF_TwoStage,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
SBER,DCF_MultiStage,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
SBER,MultipleRegression,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
SBER,EPSGrowth,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_change_pct"":5.0}",8,1,1,0,100.0,195461.1,0.0,1936.0,,73.81,195461.1000000001,195461.1000000001,19.55,0.18,0.13,0.0143,0.0
SBER,ROE,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_change_pct"":5.0}",9,3,3,0,100.0,88885.42,0.0,645.67,,73.81,118732.63999999997,71370.00000000004,26.67,0.2,0.14,0.0142,0.0
SBER,NetProfit,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""min_change_pct"":5.0}",8,1,1,0,100.0,195461.1,0.0,1936.0,,73.81,195461.1000000001,195461.1000000001,19.55,0.18,0.13,0.0143,0.0
SBER,RelValuation_PE,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""multiplier"":""P/E"",""history_window"":8,""threshold"":0.2}",4,1,1,0,100.0,1101858.0,0.0,1479.0,,38.85,1101858.0,1101858.0,110.19,0.44,0.36,0.0103,0.01
SBER,RelValuation_PB,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""multiplier"":""P/B"",""history_window"":8,""threshold"":0.2}",2,1,1,0,100.0,355289.22,0.0,1024.0,,32.04,355289.22,355289.22,35.53,0.28,0.21,0.0067,0.01
SBER,MultTrend_PE,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""multiplier"":""P/E"",""trend_periods"":3,""threshold"":0.05}",0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
SBER,ComplexScoring,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""weights"":[0.6,0.4],""history_window"":8,""lambda_coef"":0.5,""threshold"":0.1}",0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
SBER,PriceDisconnect,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""fundamental"":""earnings"",""threshold"":0.15}",5,1,1,0,100.0,59712.9,0.0,1754.0,,73.81,59712.90000000004,59712.90000000004,5.97,0.14,0.09,0.014,0.0
