window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,40,193,True,-1000000.0,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,6,121,True,6.6,-51.57,-1.438,62.69
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,40,193,True,3.623,-22.98,-0.689,31.66
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,44,61,True,4.795,33.95,1.44,15.95
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,95,109,True,5.858,-32.06,-1.296,40.59
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,67,86,False,0.941,-6.96,-0.955,16.33
