ticker,strategy_type,timeframe,method,trial_number,composite_score,param_obv_ema_window,param_confirmation_bars,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
LKOH,obv,1D,Bayesian_TPE,31,5.335,24,5,False,217.25,0.693,0.734,28.22,121,41.32,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":24,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1170.0,121.0,50.0,71.0,41.32,86385.46,-30235.59,14.84,,28.22,544939.0,-141602.0,217.25,0.69,0.73,0.011,0.03,99.0,10.0,4.0,6.0,40.0,42773.12,-26259.17,17.7,,9.23,148291.0,-61616.5,1.35,0.13,0.11,0.0074,0.01,1269.0,130.0,53.0,77.0,40.77,90649.84,-34287.2,15.21,,28.22,544939.0,-193087.0,216.43,0.63,0.65,0.0106,0.02
LKOH,obv,1D,Bayesian_TPE,32,4.009,21,5,False,177.25,0.633,0.651,27.99,126,39.68,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":21,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1225.0,126.0,50.0,76.0,39.68,75668.5,-26459.71,13.87,,27.99,475107.0,-187330.0,177.25,0.63,0.65,0.0107,0.02,112.0,11.0,3.0,8.0,27.27,27287.17,-19452.5,12.09,,8.49,61987.5,-56344.5,-7.38,-0.41,-0.31,0.0064,-0.03,1337.0,137.0,53.0,84.0,38.69,74945.42,-29024.87,14.01,,27.99,475107.0,-187330.0,153.4,0.53,0.54,0.0103,0.02
LKOH,obv,1D,Bayesian_TPE,33,5.335,24,5,False,217.25,0.693,0.734,28.22,121,41.32,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":24,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1170.0,121.0,50.0,71.0,41.32,86385.46,-30235.59,14.84,,28.22,544939.0,-141602.0,217.25,0.69,0.73,0.011,0.03,99.0,10.0,4.0,6.0,40.0,42773.12,-26259.17,17.7,,9.23,148291.0,-61616.5,1.35,0.13,0.11,0.0074,0.01,1269.0,130.0,53.0,77.0,40.77,90649.84,-34287.2,15.21,,28.22,544939.0,-193087.0,216.43,0.63,0.65,0.0106,0.02
LKOH,obv,1D,Bayesian_TPE,34,1.645,27,4,False,106.36,0.456,0.465,29.49,133,36.09,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":27,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,994.0,133.0,48.0,85.0,36.09,67292.76,-25487.13,14.21,,29.49,375970.0,-172935.0,106.36,0.46,0.47,0.0114,0.02,78.0,11.0,4.0,7.0,36.36,19179.38,-21335.71,17.09,,15.37,61213.5,-52706.0,-7.26,-0.26,-0.19,0.0087,-0.01,1072.0,144.0,52.0,92.0,36.11,65169.97,-26907.56,14.43,,29.49,375970.0,-172935.0,91.33,0.38,0.38,0.0111,0.01
LKOH,obv,1D,Bayesian_TPE,35,5.451,23,4,False,205.87,0.663,0.71,25.04,134,38.81,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":23,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1040.0,134.0,52.0,82.0,38.81,83314.16,-27727.62,13.82,,25.04,528728.0,-158480.0,205.87,0.66,0.71,0.0112,0.03,90.0,9.0,3.0,6.0,33.33,54699.0,-25906.25,14.89,,8.35,143964.0,-59653.0,0.87,0.1,0.08,0.007,0.01,1130.0,143.0,55.0,88.0,38.46,87079.35,-31169.18,14.15,,25.04,528728.0,-179916.0,204.65,0.6,0.63,0.0108,0.03
LKOH,obv,1D,Bayesian_TPE,36,3.239,19,4,False,155.92,0.573,0.605,27.58,147,38.78,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":19,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1098.0,147.0,57.0,90.0,38.78,67037.38,-25132.63,12.5,,27.58,435203.0,-144896.0,155.92,0.57,0.61,0.0112,0.02,104.0,13.0,4.0,9.0,30.77,21406.12,-22465.11,10.62,,12.99,58362.5,-51984.0,-11.66,-0.65,-0.49,0.0067,-0.03,1202.0,160.0,61.0,99.0,38.12,65361.02,-27980.3,12.57,,27.58,435203.0,-144896.0,121.7,0.46,0.47,0.0107,0.02
LKOH,obv,1D,Bayesian_TPE,37,1.726,22,3,False,147.38,0.522,0.48,44.56,158,36.71,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":22,""confirmation_bars"":3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,880.0,158.0,58.0,100.0,36.71,77818.92,-30396.93,12.53,,44.56,431462.0,-408260.0,147.38,0.52,0.48,0.0124,0.01,79.0,12.0,3.0,9.0,25.0,53650.0,-19521.78,11.58,,8.41,140868.0,-52780.0,-1.47,-0.03,-0.02,0.007,-0.0,959.0,170.0,61.0,109.0,35.88,79918.18,-31829.29,12.68,,44.56,431462.0,-408260.0,140.56,0.47,0.42,0.0118,0.01
LKOH,obv,1D,Bayesian_TPE,38,0.12,26,4,True,31.32,0.226,0.349,59.23,263,34.98,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":26,""confirmation_bars"":4,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1002.0,263.0,92.0,171.0,34.98,40592.87,-20007.75,15.24,,59.23,239730.0,-86858.0,31.32,0.23,0.35,0.0171,0.01,81.0,23.0,11.0,12.0,47.83,37193.5,-29238.42,20.48,,21.9,182332.5,-70416.0,5.83,0.27,0.34,0.0145,0.02,1083.0,285.0,102.0,183.0,35.79,41915.42,-21103.94,15.73,,59.23,243915.0,-94214.0,41.34,0.24,0.36,0.0168,0.01
LKOH,obv,1D,Bayesian_TPE,39,4.147,20,4,False,176.9,0.613,0.651,26.15,142,38.73,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":20,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1070.0,142.0,55.0,87.0,38.73,70845.22,-24454.41,13.03,,26.15,470119.0,-139236.0,176.9,0.61,0.65,0.0112,0.03,104.0,13.0,3.0,10.0,23.08,25759.33,-21738.0,10.62,,14.63,57637.5,-50901.0,-14.01,-0.81,-0.61,0.0067,-0.04,1174.0,155.0,58.0,97.0,37.42,70198.53,-28074.9,13.07,,26.15,470119.0,-139707.0,134.82,0.48,0.5,0.0107,0.02
LKOH,obv,1D,Bayesian_TPE,40,0.442,7,3,False,60.19,0.331,0.272,45.1,263,34.6,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":7,""confirmation_bars"":3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1466.0,263.0,91.0,172.0,34.6,41861.25,-18647.89,6.16,,45.1,232458.0,-342500.0,60.19,0.33,0.27,0.0113,0.01,211.0,39.0,10.0,29.0,25.64,15213.75,-12854.33,3.54,,26.75,36294.0,-73720.0,-22.06,-1.06,-0.72,0.0085,-0.03,1677.0,302.0,101.0,201.0,33.44,39410.17,-18813.28,5.86,,45.1,232458.0,-342500.0,19.9,0.17,0.14,0.011,0.0
LKOH,obv,1D,Bayesian_TPE,41,4.527,23,5,False,191.18,0.655,0.678,27.66,121,40.5,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":23,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1188.0,121.0,49.0,72.0,40.5,81895.3,-29182.04,14.57,,27.66,503788.0,-198137.5,191.18,0.66,0.68,0.0108,0.03,103.0,10.0,4.0,6.0,40.0,41884.88,-26241.25,16.7,,9.23,144738.0,-61616.5,1.01,0.11,0.1,0.0074,0.01,1291.0,130.0,52.0,78.0,40.0,85537.05,-32733.04,14.88,,27.66,503788.0,-198137.5,189.47,0.59,0.6,0.0104,0.02
LKOH,obv,1D,Bayesian_TPE,42,3.174,25,5,False,154.21,0.581,0.604,28.23,121,38.84,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":25,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1153.0,121.0,47.0,74.0,38.84,76152.74,-27527.93,14.85,,28.23,425227.0,-194176.0,154.21,0.58,0.6,0.0108,0.02,93.0,10.0,4.0,6.0,40.0,17805.38,-23595.5,18.5,,15.52,61548.0,-51984.0,-7.04,-0.26,-0.19,0.0086,-0.01,1246.0,130.0,50.0,80.0,38.46,74366.87,-29903.69,15.28,,28.23,425227.0,-194176.0,132.6,0.48,0.48,0.0106,0.02
LKOH,obv,1D,Bayesian_TPE,43,4.742,13,4,False,208.89,0.687,0.716,30.26,170,35.88,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":13,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1287.0,170.0,61.0,109.0,35.88,73793.21,-22133.21,9.84,,30.26,504810.0,-93294.0,208.89,0.69,0.72,0.0108,0.02,153.0,22.0,5.0,17.0,22.73,13790.2,-14825.21,6.23,,18.84,27396.5,-40444.5,-18.31,-1.16,-0.96,0.0064,-0.04,1440.0,192.0,66.0,126.0,34.38,70265.47,-25192.81,9.57,,30.26,504810.0,-122019.0,146.32,0.52,0.53,0.0104,0.02
LKOH,obv,1D,Bayesian_TPE,44,4.009,21,5,False,177.25,0.633,0.651,27.99,126,39.68,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":21,""confirmation_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1225.0,126.0,50.0,76.0,39.68,75668.5,-26459.71,13.87,,27.99,475107.0,-187330.0,177.25,0.63,0.65,0.0107,0.02,112.0,11.0,3.0,8.0,27.27,27287.17,-19452.5,12.09,,8.49,61987.5,-56344.5,-7.38,-0.41,-0.31,0.0064,-0.03,1337.0,137.0,53.0,84.0,38.69,74945.42,-29024.87,14.01,,27.99,475107.0,-187330.0,153.4,0.53,0.54,0.0103,0.02
LKOH,obv,1D,Bayesian_TPE,45,0.982,10,4,True,119.87,0.397,0.623,48.46,378,37.04,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":10,""confirmation_bars"":4,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1438.0,378.0,140.0,238.0,37.04,51355.46,-25172.34,10.61,,48.46,407528.0,-173877.5,119.87,0.4,0.62,0.0175,0.01,187.0,53.0,22.0,30.0,41.51,24116.23,-23569.0,8.49,,26.8,163513.0,-127719.0,-17.65,-0.39,-0.53,0.0146,-0.02,1625.0,431.0,162.0,268.0,37.59,51502.41,-28136.4,10.4,,48.46,407528.0,-279501.0,80.28,0.31,0.47,0.0171,0.01
LKOH,obv,1D,Bayesian_TPE,46,5.451,23,4,False,205.87,0.663,0.71,25.04,134,38.81,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":23,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1040.0,134.0,52.0,82.0,38.81,83314.16,-27727.62,13.82,,25.04,528728.0,-158480.0,205.87,0.66,0.71,0.0112,0.03,90.0,9.0,3.0,6.0,33.33,54699.0,-25906.25,14.89,,8.35,143964.0,-59653.0,0.87,0.1,0.08,0.007,0.01,1130.0,143.0,55.0,88.0,38.46,87079.35,-31169.18,14.15,,25.04,528728.0,-179916.0,204.65,0.6,0.63,0.0108,0.03
LKOH,obv,1D,Bayesian_TPE,47,3.165,17,4,False,160.47,0.585,0.612,29.66,157,38.22,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":17,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1154.0,157.0,60.0,97.0,38.22,66806.04,-24779.71,11.41,,29.66,502680.0,-160178.0,160.47,0.58,0.61,0.0111,0.02,116.0,14.0,4.0,10.0,28.57,17791.12,-23135.95,9.79,,16.02,26939.0,-51984.0,-16.02,-0.93,-0.7,0.0068,-0.04,1270.0,171.0,64.0,107.0,37.43,64510.06,-27972.82,11.44,,29.66,502680.0,-160178.0,113.56,0.44,0.45,0.0107,0.02
LKOH,obv,1D,Bayesian_TPE,48,5.451,23,4,False,205.87,0.663,0.71,25.04,134,38.81,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":23,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1040.0,134.0,52.0,82.0,38.81,83314.16,-27727.62,13.82,,25.04,528728.0,-158480.0,205.87,0.66,0.71,0.0112,0.03,90.0,9.0,3.0,6.0,33.33,54699.0,-25906.25,14.89,,8.35,143964.0,-59653.0,0.87,0.1,0.08,0.007,0.01,1130.0,143.0,55.0,88.0,38.46,87079.35,-31169.18,14.15,,25.04,528728.0,-179916.0,204.65,0.6,0.63,0.0108,0.03
LKOH,obv,1D,Bayesian_TPE,49,0.059,21,3,True,17.62,0.196,0.264,58.81,320,33.75,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":21,""confirmation_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,899.0,320.0,108.0,212.0,33.75,38712.6,-18890.61,12.53,,58.81,215731.0,-183580.0,17.62,0.2,0.26,0.0181,0.01,83.0,25.0,10.0,15.0,40.0,61769.45,-25882.43,17.48,,18.4,176179.5,-75141.0,22.95,0.66,0.93,0.0144,0.05,982.0,345.0,118.0,227.0,34.2,41381.71,-19630.85,13.0,,58.81,215731.0,-183580.0,42.68,0.24,0.33,0.0177,0.01
