ticker,strategy_type,timeframe,method,trial_number,composite_score,param_rsi_lower,param_rsi_upper,param_rsi_window,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
VTBR,rsi,1D,Bayesian_TPE,24,2.07,21,68,25,False,75.73,0.586,0.329,21.44,2,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":21,""rsi_upper"":68,""rsi_window"":25,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,22.0,2.0,2.0,0.0,100.0,378636.8,0.0,233.5,,21.44,505036.8000000003,252236.8000000001,75.73,0.59,0.33,0.006,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,27.0,2.0,2.0,0.0,100.0,378636.8,0.0,233.5,,21.44,505036.8000000003,252236.8000000001,75.73,0.55,0.29,0.0056,0.01
VTBR,rsi,1D,Bayesian_TPE,25,0.0,14,68,28,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":14,""rsi_upper"":68,""rsi_window"":28,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
VTBR,rsi,1D,Bayesian_TPE,26,0.088,25,69,25,False,24.05,0.199,0.154,54.1,4,50.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":25,""rsi_upper"":69,""rsi_window"":25,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,26.0,4.0,2.0,2.0,50.0,355247.8,-234973.56,256.25,,54.1,454518.00000000023,-338209.99999999965,24.05,0.2,0.15,0.0111,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,28.0,4.0,2.0,2.0,50.0,355247.8,-214939.81,357.75,,54.1,454518.00000000023,-298142.49999999977,28.06,0.2,0.16,0.0131,0.0
VTBR,rsi,1D,Bayesian_TPE,27,2.515,21,63,29,False,63.23,0.607,0.216,15.26,2,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":21,""rsi_upper"":63,""rsi_window"":29,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,39.0,2.0,2.0,0.0,100.0,316163.8,0.0,116.0,,15.26,337873.20000000007,294454.39999999997,63.23,0.61,0.22,0.005,0.02,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,45.0,2.0,2.0,0.0,100.0,316163.8,0.0,116.0,,15.26,337873.20000000007,294454.39999999997,63.23,0.57,0.19,0.0046,0.02
VTBR,rsi,1D,Bayesian_TPE,28,0.0,12,57,29,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":12,""rsi_upper"":57,""rsi_window"":29,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
VTBR,rsi,1D,Bayesian_TPE,29,0.449,17,63,28,False,19.35,0.354,0.072,15.26,1,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":17,""rsi_upper"":63,""rsi_window"":28,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,41.0,1.0,1.0,0.0,100.0,193452.8,0.0,71.0,,15.26,193452.8000000001,193452.8000000001,19.35,0.35,0.07,0.0031,0.01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,48.0,1.0,1.0,0.0,100.0,193452.8,0.0,71.0,,15.26,193452.8000000001,193452.8000000001,19.35,0.33,0.06,0.0029,0.01
VTBR,rsi,1D,Bayesian_TPE,30,1.05,24,55,30,False,73.18,0.463,0.229,32.27,3,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":24,""rsi_upper"":55,""rsi_window"":30,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,66.0,3.0,3.0,0.0,100.0,243945.73,0.0,114.33,,32.27,264285.70000000007,227921.60000000003,73.18,0.46,0.23,0.0079,0.01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,77.0,3.0,3.0,0.0,100.0,243945.73,0.0,114.33,,32.27,264285.70000000007,227921.60000000003,73.18,0.43,0.2,0.0073,0.01
VTBR,rsi,1D,Bayesian_TPE,31,2.07,21,69,26,False,75.73,0.586,0.329,21.44,2,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":21,""rsi_upper"":69,""rsi_window"":26,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,22.0,2.0,2.0,0.0,100.0,378636.8,0.0,233.5,,21.44,505036.8000000003,252236.8000000001,75.73,0.59,0.33,0.006,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,24.0,2.0,2.0,0.0,100.0,378636.8,0.0,233.5,,21.44,505036.8000000003,252236.8000000001,75.73,0.55,0.29,0.0056,0.01
VTBR,rsi,1D,Bayesian_TPE,32,1.286,20,66,24,False,55.13,0.5,0.244,21.44,2,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":20,""rsi_upper"":66,""rsi_window"":24,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,35.0,2.0,2.0,0.0,100.0,275627.2,0.0,185.5,,21.44,357801.60000000015,193452.8000000001,55.13,0.5,0.24,0.0055,0.01,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,41.0,2.0,2.0,0.0,100.0,275627.2,0.0,185.5,,21.44,357801.60000000015,193452.8000000001,55.13,0.47,0.21,0.0052,0.01
VTBR,rsi,1D,Bayesian_TPE,33,0.525,16,73,28,False,36.29,0.384,0.167,26.56,1,100.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":16,""rsi_upper"":73,""rsi_window"":28,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,10.0,1.0,1.0,0.0,100.0,362857.6,0.0,276.0,,26.56,362857.6,362857.6,36.29,0.38,0.17,0.0052,0.01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,13.0,1.0,1.0,0.0,100.0,362857.6,0.0,276.0,,26.56,362857.6,362857.6,36.29,0.36,0.15,0.0048,0.01
