ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
LKOH,hammerdoji,1D,Bayesian_TPE,17,5.173,0.17,3.1,False,274.96,0.667,0.692,35.45,133,59.4,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.17,""wick_body_ratio"":3.1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,525.0,133.0,79.0,54.0,59.4,87199.75,-76652.08,15.98,,35.45,429165.0,-430542.0,274.96,0.67,0.69,0.0136,0.03,66.0,18.0,8.0,10.0,44.44,25849.19,-36088.9,16.33,,31.55,81921.0,-110572.0,-15.41,-0.39,-0.47,0.0129,-0.02,591.0,150.0,86.0,64.0,57.33,88071.41,-85441.01,16.19,,35.45,429165.0,-430542.0,210.59,0.53,0.56,0.0135,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,18,14.581,0.06,3.2,False,415.91,0.847,0.882,24.16,62,64.52,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.06,""wick_body_ratio"":3.2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,257.0,62.0,40.0,22.0,64.52,164756.32,-110505.79,34.85,,24.16,1051662.5,-570402.0,415.91,0.85,0.88,0.0126,0.04,28.0,8.0,4.0,4.0,50.0,34386.5,-35933.38,32.62,,23.0,53836.0,-47952.0,-0.62,0.07,0.08,0.0114,0.0,285.0,70.0,44.0,26.0,62.86,165924.26,-122061.86,34.6,,24.16,1051662.5,-570402.0,412.71,0.75,0.79,0.0125,0.04
LKOH,hammerdoji,1D,Bayesian_TPE,19,0.809,0.03,3.3,False,95.41,0.373,0.343,43.99,42,61.9,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.03,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,175.0,42.0,26.0,16.0,61.9,94119.49,-93314.43,56.14,,43.99,543663.0,-291192.5,95.41,0.37,0.34,0.0156,0.01,17.0,3.0,1.0,2.0,33.33,51958.0,-41608.5,58.67,,19.27,51958.0,-44556.0,-3.13,-0.07,-0.06,0.0088,-0.0,192.0,45.0,27.0,18.0,60.0,94389.59,-91967.33,56.31,,43.99,543663.0,-291192.5,89.31,0.33,0.3,0.0149,0.01
LKOH,hammerdoji,1D,Bayesian_TPE,20,3.724,0.06,2.8,False,213.34,0.587,0.582,33.63,70,61.43,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.06,""wick_body_ratio"":2.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,286.0,70.0,43.0,27.0,61.43,122010.3,-115297.92,33.17,,33.63,725900.0,-642654.0,213.34,0.59,0.58,0.0138,0.02,30.0,8.0,4.0,4.0,50.0,34386.5,-43543.5,33.88,,23.0,53836.0,-47952.0,-3.66,-0.03,-0.04,0.0115,-0.0,316.0,78.0,47.0,31.0,60.26,120806.15,-118041.14,33.24,,33.63,725900.0,-642654.0,201.86,0.52,0.52,0.0135,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,21,7.568,0.11,3.2,False,341.95,0.731,0.803,33.03,99,59.6,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.11,""wick_body_ratio"":3.2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,376.0,99.0,59.0,40.0,59.6,141367.12,-123028.83,24.05,,33.03,1041127.5,-1161814.5,341.95,0.73,0.8,0.0138,0.03,45.0,11.0,7.0,4.0,63.64,42364.21,-59910.38,21.73,,26.26,81921.0,-135702.0,5.69,0.27,0.29,0.0119,0.01,421.0,110.0,66.0,44.0,60.0,146271.93,-135910.57,23.82,,33.03,1041127.5,-1161814.5,367.39,0.68,0.74,0.0135,0.03
LKOH,hammerdoji,1D,Bayesian_TPE,22,4.574,0.07,3.2,False,288.83,0.664,0.632,41.93,70,62.86,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.07,""wick_body_ratio"":3.2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,277.0,70.0,44.0,26.0,62.86,132084.44,-112439.9,32.46,,41.93,754994.5,-785450.0,288.83,0.66,0.63,0.0142,0.02,33.0,9.0,4.0,5.0,44.44,31054.38,-50096.2,30.22,,29.61,49141.0,-112726.0,-12.63,-0.32,-0.36,0.0123,-0.01,310.0,79.0,48.0,31.0,60.76,131155.71,-125828.51,32.2,,41.93,754994.5,-785450.0,239.48,0.55,0.53,0.014,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,23,2.926,0.1,2.2,False,185.21,0.531,0.549,33.61,118,58.47,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.1,""wick_body_ratio"":2.2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,457.0,118.0,69.0,49.0,58.47,83061.17,-79164.81,20.98,,33.61,413755.0,-718027.0,185.21,0.53,0.55,0.0146,0.02,56.0,12.0,8.0,4.0,66.67,39127.25,-68709.88,20.83,,26.2,81921.0,-137138.0,3.82,0.22,0.24,0.0118,0.01,513.0,129.0,76.0,53.0,58.91,86183.94,-87715.89,21.2,,33.61,413755.0,-718027.0,190.1,0.49,0.51,0.0142,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,24,6.418,0.12,3.3,False,303.7,0.698,0.749,33.03,103,60.19,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.12,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,393.0,103.0,62.0,41.0,60.19,119493.7,-106625.69,22.31,,33.03,895228.0,-885883.5,303.7,0.7,0.75,0.0136,0.03,47.0,12.0,7.0,5.0,58.33,42364.21,-48244.8,19.83,,26.26,81921.0,-135702.0,5.53,0.27,0.28,0.0119,0.01,440.0,115.0,69.0,46.0,60.0,124749.45,-116221.38,22.05,,33.03,895228.0,-885883.5,326.15,0.65,0.69,0.0134,0.03
LKOH,hammerdoji,1D,Bayesian_TPE,25,4.055,0.09,2.8,False,231.09,0.59,0.605,33.62,92,61.96,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.09,""wick_body_ratio"":2.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,366.0,92.0,57.0,35.0,61.96,108642.35,-110906.3,26.62,,33.62,514452.0,-676373.5,231.09,0.59,0.61,0.0146,0.03,41.0,10.0,5.0,5.0,50.0,54267.4,-62385.5,28.1,,26.77,90240.0,-127086.0,-4.06,-0.02,-0.03,0.0127,-0.0,407.0,102.0,62.0,40.0,60.78,114392.22,-122914.38,26.76,,33.62,514452.0,-676373.5,217.57,0.52,0.54,0.0143,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,26,5.438,0.07,3.5,False,319.62,0.703,0.65,41.32,65,63.08,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.07,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,261.0,65.0,41.0,24.0,63.08,142653.13,-110524.62,33.69,,41.32,814487.5,-824722.5,319.62,0.7,0.65,0.014,0.02,31.0,8.0,4.0,4.0,50.0,31054.38,-62639.88,34.12,,29.62,49141.0,-154095.5,-12.63,-0.32,-0.36,0.0123,-0.01,292.0,73.0,45.0,28.0,61.64,141565.95,-132412.34,33.74,,41.32,814487.5,-824722.5,266.29,0.58,0.55,0.0138,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,27,7.041,0.15,3.2,False,333.2,0.743,0.782,35.16,124,60.48,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.15,""wick_body_ratio"":3.2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,473.0,124.0,75.0,49.0,60.48,110688.09,-101420.73,17.48,,35.16,472461.0,-584365.5,333.2,0.74,0.78,0.0132,0.03,58.0,16.0,7.0,9.0,43.75,34818.14,-33910.17,16.25,,26.25,81921.0,-126368.0,-6.15,-0.11,-0.12,0.0119,-0.0,531.0,139.0,81.0,58.0,58.27,114199.61,-108026.44,17.53,,35.16,472461.0,-584365.5,298.46,0.63,0.67,0.0131,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,28,0.423,0.03,2.1,False,57.54,0.296,0.313,40.22,73,60.27,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.03,""wick_body_ratio"":2.1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,302.0,73.0,44.0,29.0,60.27,65590.1,-79674.99,35.11,,40.22,418683.0,-477256.0,57.54,0.3,0.31,0.0146,0.01,34.0,7.0,5.0,2.0,71.43,42976.6,-61946.5,31.29,,11.0,137329.5,-96425.0,9.1,0.43,0.46,0.0093,0.04,336.0,79.0,48.0,31.0,60.76,66387.32,-80701.93,35.33,,40.22,418683.0,-477256.0,68.48,0.3,0.31,0.014,0.01
LKOH,hammerdoji,1D,Bayesian_TPE,29,1.107,0.1,2.5,True,120.07,0.392,0.524,42.53,218,55.96,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.1,""wick_body_ratio"":2.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,421.0,218.0,122.0,96.0,55.96,58059.19,-61276.34,18.35,,42.53,514509.0,-480007.0,120.07,0.39,0.52,0.0186,0.02,51.0,24.0,16.0,8.0,66.67,57027.75,-77004.19,19.42,,27.11,178083.0,-185042.0,29.64,0.78,1.16,0.0152,0.04,472.0,242.0,138.0,104.0,57.02,66235.11,-69450.84,18.49,,42.53,514509.0,-480007.0,191.76,0.44,0.59,0.0182,0.02
LKOH,hammerdoji,1D,Bayesian_TPE,30,10.402,0.05,3.3,False,353.55,0.775,0.838,26.34,57,63.16,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.05,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,230.0,57.0,36.0,21.0,63.16,150417.26,-89502.22,40.75,,26.34,856800.0,-357572.5,353.55,0.78,0.84,0.0129,0.04,25.0,7.0,3.0,4.0,42.86,35497.0,-45257.25,37.57,,25.23,52271.0,-50912.0,-7.45,-0.17,-0.19,0.0115,-0.01,255.0,64.0,39.0,25.0,60.94,151260.34,-108104.15,40.41,,26.34,856800.0,-357572.5,319.65,0.66,0.72,0.0128,0.03
LKOH,hammerdoji,1D,Bayesian_TPE,31,10.402,0.05,3.3,False,353.55,0.775,0.838,26.34,57,63.16,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.05,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,230.0,57.0,36.0,21.0,63.16,150417.26,-89502.22,40.75,,26.34,856800.0,-357572.5,353.55,0.78,0.84,0.0129,0.04,25.0,7.0,3.0,4.0,42.86,35497.0,-45257.25,37.57,,25.23,52271.0,-50912.0,-7.45,-0.17,-0.19,0.0115,-0.01,255.0,64.0,39.0,25.0,60.94,151260.34,-108104.15,40.41,,26.34,856800.0,-357572.5,319.65,0.66,0.72,0.0128,0.03
LKOH,hammerdoji,1D,Bayesian_TPE,32,11.096,0.05,3.4000000000000004,False,367.35,0.789,0.85,26.12,57,63.16,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.05,""wick_body_ratio"":3.4000000000000004,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,225.0,57.0,36.0,21.0,63.16,155522.24,-91683.33,40.54,,26.12,883575.0,-368110.0,367.35,0.79,0.85,0.0129,0.04,24.0,6.0,2.0,4.0,33.33,34543.0,-69093.62,50.67,,35.96,44759.0,-140354.5,-20.73,-0.55,-0.65,0.0135,-0.02,249.0,63.0,38.0,25.0,60.32,155839.02,-128849.3,41.51,,36.06,883575.0,-658586.5,270.07,0.61,0.66,0.013,0.02
