ticker,strategy_type,timeframe,method,trial_number,composite_score,param_vwap_window,param_vwap_tol,param_vwap_mode,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
ROSN,vwap,1D,Bayesian_TPE,37,-0.011,176,0.018,rolling,True,-7.1,0.103,0.162,64.42,50,16.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":176,""vwap_tol"":0.018000000000000002,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,126.0,50.0,8.0,42.0,16.0,136661.52,-27722.03,77.4,,64.42,316383.25,-52257.80000000006,-7.1,0.1,0.16,0.0165,0.0,13.0,8.0,4.0,4.0,50.0,19422.41,-38724.48,55.75,,22.7,28128.449999999913,-60649.05000000008,-7.72,-0.1,-0.13,0.0144,-0.01,139.0,57.0,11.0,46.0,19.3,98710.76,-28895.85,76.23,,64.42,316383.25,-87630.40000000007,-24.34,0.04,0.06,0.0163,0.0
ROSN,vwap,1D,Bayesian_TPE,38,4.168,155,0.02,yearly,False,211.12,0.654,0.785,33.13,23,43.48,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":155,""vwap_tol"":0.02,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,141.0,23.0,10.0,13.0,43.48,302267.72,-70115.87,94.35,,33.13,1164934.35,-170796.00000000012,211.12,0.65,0.78,0.0116,0.02,15.0,3.0,1.0,2.0,33.33,106161.3,-50588.25,24.0,,11.52,106161.29999999996,-67210.50000000004,0.5,0.08,0.06,0.0074,0.01,156.0,26.0,11.0,15.0,42.31,282574.99,-80264.24,86.65,,33.13,1164934.35,-194288.85000000012,190.44,0.56,0.65,0.0112,0.02
ROSN,vwap,1D,Bayesian_TPE,39,3.743,86,0.001,yearly,False,206.26,0.641,0.789,35.32,71,23.94,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":86,""vwap_tol"":0.001,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,157.0,71.0,17.0,54.0,23.94,210221.88,-27984.1,31.61,,35.32,1270332.0,-121634.70000000008,206.26,0.64,0.79,0.0117,0.02,20.0,8.0,1.0,7.0,12.5,111508.7,-21215.15,9.88,,15.92,111508.69999999995,-43250.0,-3.7,-0.13,-0.09,0.0078,-0.01,177.0,79.0,18.0,61.0,22.78,212021.6,-32014.34,29.49,,35.32,1270332.0,-128650.0,186.35,0.55,0.65,0.0113,0.02
ROSN,vwap,1D,Bayesian_TPE,40,0.037,188,0.016,rolling,True,12.52,0.17,0.266,56.9,46,17.39,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":188,""vwap_tol"":0.016,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,100.0,46.0,8.0,38.0,17.39,157927.58,-29952.16,84.13,,56.9,383173.0,-63268.45000000008,12.52,0.17,0.27,0.0165,0.0,9.0,4.0,3.0,1.0,75.0,51377.85,-60649.05,111.5,,16.79,124475.39999999994,-60649.05000000008,9.35,0.36,0.48,0.0137,0.03,109.0,49.0,10.0,39.0,20.41,133027.06,-31906.29,88.67,,56.9,383173.0,-106163.20000000008,8.59,0.15,0.23,0.0162,0.0
ROSN,vwap,1D,Bayesian_TPE,41,4.168,178,0.02,yearly,False,211.12,0.654,0.785,33.13,23,43.48,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":178,""vwap_tol"":0.02,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,141.0,23.0,10.0,13.0,43.48,302267.72,-70115.87,94.35,,33.13,1164934.35,-170796.00000000012,211.12,0.65,0.78,0.0116,0.02,15.0,3.0,1.0,2.0,33.33,106161.3,-50588.25,24.0,,11.52,106161.29999999996,-67210.50000000004,0.5,0.08,0.06,0.0074,0.01,156.0,26.0,11.0,15.0,42.31,282574.99,-80264.24,86.65,,33.13,1164934.35,-194288.85000000012,190.44,0.56,0.65,0.0112,0.02
ROSN,vwap,1D,Bayesian_TPE,42,3.351,182,0.019,yearly,False,184.4,0.611,0.73,33.62,25,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":182,""vwap_tol"":0.019000000000000003,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,142.0,25.0,10.0,15.0,40.0,283406.64,-66006.3,86.12,,33.62,1046466.45,-108250.60000000012,184.4,0.61,0.73,0.0116,0.02,13.0,3.0,1.0,2.0,33.33,106161.3,-50588.25,24.0,,11.52,106161.29999999996,-67210.50000000004,0.5,0.08,0.06,0.0074,0.01,155.0,28.0,11.0,17.0,39.29,264758.98,-73966.18,79.86,,33.62,1046466.45,-177583.3500000001,165.49,0.53,0.6,0.0112,0.02
ROSN,vwap,1D,Bayesian_TPE,43,4.168,166,0.02,yearly,False,211.12,0.654,0.785,33.13,23,43.48,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":166,""vwap_tol"":0.02,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,141.0,23.0,10.0,13.0,43.48,302267.72,-70115.87,94.35,,33.13,1164934.35,-170796.00000000012,211.12,0.65,0.78,0.0116,0.02,15.0,3.0,1.0,2.0,33.33,106161.3,-50588.25,24.0,,11.52,106161.29999999996,-67210.50000000004,0.5,0.08,0.06,0.0074,0.01,156.0,26.0,11.0,15.0,42.31,282574.99,-80264.24,86.65,,33.13,1164934.35,-194288.85000000012,190.44,0.56,0.65,0.0112,0.02
ROSN,vwap,1D,Bayesian_TPE,44,3.351,134,0.019,yearly,False,184.4,0.611,0.73,33.62,25,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":134,""vwap_tol"":0.019000000000000003,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,142.0,25.0,10.0,15.0,40.0,283406.64,-66006.3,86.12,,33.62,1046466.45,-108250.60000000012,184.4,0.61,0.73,0.0116,0.02,13.0,3.0,1.0,2.0,33.33,106161.3,-50588.25,24.0,,11.52,106161.29999999996,-67210.50000000004,0.5,0.08,0.06,0.0074,0.01,155.0,28.0,11.0,17.0,39.29,264758.98,-73966.18,79.86,,33.62,1046466.45,-177583.3500000001,165.49,0.53,0.6,0.0112,0.02
ROSN,vwap,1D,Bayesian_TPE,45,2.297,104,0.007,yearly,False,146.87,0.535,0.656,34.21,50,26.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":104,""vwap_tol"":0.007,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,155.0,50.0,13.0,37.0,26.0,222790.9,-38582.55,44.3,,34.21,991090.6500000004,-104584.70000000008,146.87,0.53,0.66,0.0118,0.02,15.0,3.0,1.0,2.0,33.33,121182.0,-37224.5,23.67,,10.51,121181.99999999994,-67210.50000000004,4.67,0.29,0.19,0.0074,0.02,170.0,53.0,14.0,39.0,26.42,222508.2,-41180.9,43.26,,34.21,991090.6500000004,-161149.8000000001,150.91,0.5,0.58,0.0113,0.02
ROSN,vwap,1D,Bayesian_TPE,46,2.659,122,0.017,yearly,False,158.3,0.562,0.677,33.46,30,33.33,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":122,""vwap_tol"":0.017,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,149.0,30.0,10.0,20.0,33.33,262951.99,-52326.46,71.87,,33.46,950405.4,-98303.5000000001,158.3,0.56,0.68,0.0116,0.02,11.0,3.0,1.0,2.0,33.33,117674.1,-50588.25,23.67,,11.25,117674.09999999996,-67210.50000000004,1.65,0.14,0.09,0.0074,0.01,160.0,33.0,11.0,22.0,33.33,248019.42,-58606.27,67.82,,33.46,950405.4,-161305.2000000001,143.89,0.49,0.56,0.0112,0.02
