ticker,strategy_type,timeframe,method,trial_number,composite_score,param_short_ema,param_long_ema,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,ema,1D,Bayesian_TPE,12,0.055,71,120,False,14.98,0.169,0.147,46.12,8,25.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":71,""long_ema"":120,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17.0,8.0,2.0,6.0,25.0,294358.9,-73149.63,234.38,,46.12,339494.44999999995,-97465.35999999996,14.98,0.17,0.15,0.0135,0.0,3.0,2.0,0.0,2.0,0.0,0.0,-60847.33,82.5,,32.29,-2792.8000000000397,-118901.86000000007,-12.17,-0.25,-0.21,0.0137,-0.01,20.0,10.0,2.0,8.0,20.0,294358.9,-72353.97,204.0,,47.07,339494.44999999995,-136722.7400000001,0.99,0.11,0.1,0.0135,0.0
GAZP,ema,1D,Bayesian_TPE,13,0.026,8,68,False,-31.63,-0.06,-0.05,71.89,35,20.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":8,""long_ema"":68,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,70.0,35.0,7.0,27.0,20.0,217251.53,-68040.15,53.6,,71.89,877702.52,-476094.8399999999,-31.63,-0.06,-0.05,0.013,-0.0,11.0,5.0,1.0,4.0,20.0,2326.8,-64574.68,33.6,,26.88,2326.800000000033,-101111.04,-25.6,-1.34,-1.03,0.0081,-0.04,81.0,40.0,9.0,31.0,22.5,175366.51,-65421.99,53.35,,77.77,877702.52,-476094.8399999999,-44.98,-0.12,-0.1,0.013,-0.0
GAZP,ema,1D,Bayesian_TPE,14,0.004,53,113,False,1.87,0.115,0.097,49.69,8,25.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":53,""long_ema"":113,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17.0,8.0,2.0,6.0,25.0,197047.06,-62561.23,231.38,,49.69,385166.24999999994,-120443.40000000008,1.87,0.12,0.1,0.0131,0.0,5.0,3.0,0.0,3.0,0.0,0.0,-22203.93,70.33,,32.29,-9571.79999999994,-33052.31999999995,-6.66,-0.08,-0.08,0.0138,-0.0,22.0,11.0,2.0,9.0,18.18,197047.06,-49248.02,187.45,,56.15,385166.24999999994,-120443.40000000008,-4.91,0.09,0.08,0.0132,0.0
GAZP,ema,1D,Bayesian_TPE,15,0.002,81,142,False,-24.45,-0.003,-0.003,46.64,7,14.29,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":81,""long_ema"":142,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15.0,7.0,1.0,6.0,14.29,144139.68,-64779.17,263.86,,46.64,144139.6799999999,-88416.00000000007,-24.45,-0.0,-0.0,0.0139,-0.0,3.0,2.0,0.0,2.0,0.0,0.0,-123153.48,75.5,,32.29,-16238.320000000049,-230068.64000000004,-24.63,-0.76,-0.58,0.0127,-0.03,18.0,9.0,1.0,8.0,11.11,144139.68,-71846.05,222.0,,61.3,144139.6799999999,-173827.92000000004,-43.06,-0.09,-0.08,0.0137,-0.0
GAZP,ema,1D,Bayesian_TPE,16,0.092,58,92,False,21.68,0.189,0.193,44.33,10,30.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":58,""long_ema"":92,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21.0,10.0,3.0,7.0,30.0,247968.85,-75295.66,187.4,,44.33,330489.17999999993,-139591.39,21.68,0.19,0.19,0.012,0.01,5.0,3.0,1.0,2.0,33.33,13813.0,-38167.09,73.67,,32.29,13813.000000000042,-70222.71999999994,-6.25,-0.07,-0.07,0.0139,-0.0,26.0,13.0,4.0,9.0,30.77,190178.97,-68883.59,161.15,,50.65,330489.17999999993,-139591.39,14.08,0.15,0.15,0.0123,0.0
GAZP,ema,1D,Bayesian_TPE,17,0.155,19,67,False,-52.45,-0.217,-0.177,73.51,25,20.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":19,""long_ema"":67,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,51.0,25.0,5.0,20.0,20.0,202455.15,-76838.31,74.56,,73.51,566921.5499999999,-468605.2,-52.45,-0.22,-0.18,0.0131,-0.0,8.0,4.0,1.0,3.0,25.0,23350.42,-58741.07,61.75,,39.4,23350.419999999947,-109635.0,-15.29,-0.41,-0.45,0.0126,-0.01,59.0,29.0,6.0,23.0,20.69,170562.81,-70458.99,72.79,,78.02,566921.5499999999,-468605.2,-59.72,-0.24,-0.2,0.013,-0.0
GAZP,ema,1D,Bayesian_TPE,18,-0.001,37,102,False,-0.36,0.105,0.089,55.93,14,28.57,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":37,""long_ema"":102,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,29.0,14.0,4.0,10.0,28.57,287633.35,-115408.39,132.57,,55.93,687365.0,-533147.46,-0.36,0.11,0.09,0.0129,0.0,7.0,4.0,0.0,4.0,0.0,0.0,-29413.22,55.25,,34.45,-6431.040000000175,-52084.69999999998,-11.77,-0.27,-0.28,0.0128,-0.01,36.0,18.0,4.0,14.0,22.22,287633.35,-90807.88,115.39,,61.59,687365.0,-533147.46,-12.08,0.06,0.05,0.0129,0.0
GAZP,ema,1D,Bayesian_TPE,20,-0.006,47,140,False,-3.4,0.092,0.078,50.0,9,22.22,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":47,""long_ema"":140,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,19.0,9.0,2.0,7.0,22.22,183883.06,-57391.51,204.78,,50.0,360834.37999999995,-123007.5000000001,-3.4,0.09,0.08,0.0131,0.0,5.0,3.0,0.0,3.0,0.0,0.0,-18254.37,60.0,,32.29,-2484.380000000025,-39354.64999999998,-5.48,-0.05,-0.05,0.0135,-0.0,24.0,12.0,2.0,10.0,16.67,183883.06,-45464.25,168.58,,55.45,360834.37999999995,-123007.5000000001,-8.69,0.07,0.06,0.0132,0.0
GAZP,ema,1D,Bayesian_TPE,21,0.105,17,73,False,-46.18,-0.163,-0.133,71.92,25,20.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":17,""long_ema"":73,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,51.0,25.0,5.0,20.0,20.0,227906.89,-80066.44,74.0,,71.92,664778.4000000001,-485662.23,-46.18,-0.16,-0.13,0.0131,-0.0,8.0,4.0,1.0,3.0,25.0,23350.42,-58741.07,61.75,,39.4,23350.419999999947,-109635.0,-15.29,-0.41,-0.45,0.0126,-0.01,59.0,29.0,6.0,23.0,20.69,192016.66,-73746.62,72.31,,76.7,664778.4000000001,-485662.23,-54.41,-0.19,-0.16,0.013,-0.0
GAZP,ema,1D,Bayesian_TPE,22,0.048,16,87,False,-36.59,-0.09,-0.074,68.62,22,22.73,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":16,""long_ema"":87,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,45.0,22.0,5.0,17.0,22.73,225376.83,-87812.92,83.5,,68.62,728418.8200000001,-555588.0,-36.59,-0.09,-0.07,0.0132,-0.0,8.0,4.0,0.0,4.0,0.0,0.0,-50824.7,60.75,,42.35,-6918.229999999931,-103925.7600000001,-20.33,-0.58,-0.61,0.0129,-0.02,53.0,26.0,5.0,21.0,19.23,225376.83,-77224.67,80.0,,75.51,728418.8200000001,-555588.0,-49.48,-0.15,-0.13,0.0131,-0.0
GAZP,ema,1D,Bayesian_TPE,23,0.066,29,64,False,-39.98,-0.114,-0.094,68.8,21,23.81,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":29,""long_ema"":64,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,43.0,21.0,5.0,16.0,23.81,210591.13,-90798.89,87.43,,68.8,692348.0199999999,-522384.50000000006,-39.98,-0.11,-0.09,0.0131,-0.0,7.0,4.0,1.0,3.0,25.0,258.12,-62843.97,62.75,,40.15,258.12000000004036,-103593.83999999995,-18.83,-0.52,-0.55,0.0128,-0.02,50.0,25.0,6.0,19.0,24.0,175518.43,-82417.23,83.48,,74.89,692348.0199999999,-522384.50000000006,-51.28,-0.17,-0.14,0.0131,-0.0
