ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_retest_window,param_cancel_atr_mult,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,retest_pivot,1h,Bayesian_TPE,10,0.172,231,9,3,0.3,0.55,1,15,29,0.6,False,60.4,0.09,0.08,31.53,81,43.21,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":231,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":0.55,""confirmation_bars"":1,""cooldown_bars"":15,""retest_window"":29,""cancel_atr_mult"":0.6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,352.0,81.0,35.0,46.0,43.21,61770.08,-33868.29,25.03,600.78,31.53,268421.9999999999,-238191.60000000003,60.4,0.23,0.2,0.004,0.0,87.0,17.0,8.0,9.0,47.06,90568.38,-33623.48,14.54,349.06,18.46,297721.8300000002,-59339.83999999999,42.19,0.66,0.67,0.0036,0.01,439.0,98.0,43.0,55.0,43.88,77306.1,-37151.77,23.21,557.11,31.53,477573.7400000003,-238191.60000000003,128.08,0.3,0.27,0.0039,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,11,0.048,218,5,3,0.55,0.55,2,13,10,0.8,True,31.47,0.065,0.058,42.56,242,44.63,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":218,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.55,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":10,""cancel_atr_mult"":0.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,875.0,242.0,108.0,133.0,44.63,28042.66,-20213.81,7.35,176.39,42.56,253487.06000000006,-185637.23999999996,34.02,0.17,0.15,0.0036,0.0,174.0,45.0,20.0,25.0,44.44,16625.94,-21395.23,5.71,137.02,36.48,74095.8800000001,-61650.719999999936,-20.24,-0.35,-0.34,0.0033,-0.0,1049.0,286.0,127.0,158.0,44.41,27393.22,-21564.34,7.17,172.05,45.48,356573.1400000002,-185637.23999999996,7.18,0.09,0.08,0.0036,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,12,-0.007,194,9,3,1.0,0.3,2,11,16,1.1,True,-23.09,0.021,0.016,67.76,152,43.42,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":194,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.3,""confirmation_bars"":2,""cooldown_bars"":11,""retest_window"":16,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,621.0,152.0,66.0,86.0,43.42,38972.14,-32593.93,13.29,318.86,67.76,262845.5699999999,-540237.33,-23.09,0.05,0.04,0.0055,0.0,135.0,30.0,11.0,19.0,36.67,29970.82,-24052.72,8.15,195.5,28.28,108767.88000000016,-57679.81000000006,-12.73,-0.18,-0.18,0.0033,-0.0,756.0,181.0,76.0,105.0,41.99,36771.11,-29941.37,12.58,301.98,67.76,262845.5699999999,-540237.33,-34.92,0.02,0.02,0.0052,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,13,0.038,246,5,4,0.7,0.45,3,18,27,2.3,True,28.45,0.062,0.053,45.84,132,45.45,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":246,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.45,""confirmation_bars"":3,""cooldown_bars"":18,""retest_window"":27,""cancel_atr_mult"":2.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,498.0,132.0,60.0,72.0,45.45,40208.9,-29888.23,14.04,336.98,45.84,393761.68000000005,-318834.9,26.06,0.16,0.14,0.0038,0.0,106.0,28.0,12.0,16.0,42.86,26483.39,-19939.04,7.46,179.14,14.48,86070.59999999996,-52806.15000000002,-0.12,0.05,0.05,0.0026,0.0,604.0,159.0,71.0,88.0,44.65,40126.25,-29122.46,13.07,313.79,45.84,393761.68000000005,-318834.9,28.62,0.15,0.13,0.0037,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,14,0.168,162,10,2,0.45,0.65,2,13,40,1.3,True,106.58,0.108,0.083,68.47,213,44.13,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":162,""pivot_window"":10,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.65,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":40,""cancel_atr_mult"":1.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,776.0,213.0,94.0,115.0,44.13,53939.23,-34975.37,8.69,208.66,68.47,585489.0599999999,-769792.0,104.81,0.28,0.21,0.0054,0.0,160.0,43.0,21.0,22.0,48.84,24143.54,-26171.93,5.95,142.72,27.63,130956.93000000008,-194855.96,-6.88,-0.06,-0.06,0.0034,-0.0,936.0,256.0,115.0,137.0,44.92,51887.74,-37571.7,8.27,198.59,68.47,585489.0599999999,-769792.0,81.98,0.23,0.18,0.0052,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,15,0.644,205,7,3,0.75,0.45,1,9,18,0.8,True,192.15,0.171,0.151,51.0,231,45.45,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":205,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":9,""retest_window"":18,""cancel_atr_mult"":0.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,976.0,231.0,105.0,125.0,45.45,70504.3,-44291.12,8.17,196.18,51.0,599576.3999999998,-938529.8999999999,186.66,0.43,0.39,0.0037,0.0,214.0,41.0,23.0,18.0,56.1,22567.83,-27728.17,5.38,129.17,32.75,136233.24000000008,-202518.89999999997,2.0,0.1,0.1,0.0033,0.0,1190.0,271.0,127.0,143.0,46.86,68160.44,-48182.8,7.82,187.72,54.05,656756.5000000003,-938529.8999999999,176.62,0.37,0.33,0.0037,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,16,0.093,258,8,5,0.75,0.65,1,8,18,0.8,True,68.65,0.097,0.076,71.47,41,41.46,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":258,""pivot_window"":8,""min_touches"":5,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.65,""confirmation_bars"":1,""cooldown_bars"":8,""retest_window"":18,""cancel_atr_mult"":0.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,271.0,41.0,17.0,24.0,41.46,201001.63,-113771.8,48.82,1171.66,71.47,829361.3999999999,-1287262.6899999997,68.65,0.25,0.19,0.0039,0.0,58.0,10.0,2.0,8.0,20.0,111853.84,-26753.02,26.5,636.1,26.28,208998.92000000013,-81712.07000000011,0.97,0.08,0.09,0.0033,0.0,329.0,50.0,19.0,31.0,38.0,200169.92,-98163.61,45.92,1102.1,71.47,829361.3999999999,-1287262.6899999997,76.02,0.23,0.19,0.0038,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,17,-0.003,213,7,2,0.45,0.5,1,10,22,0.5,True,-8.56,0.021,0.016,71.86,430,41.86,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":213,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":10,""retest_window"":22,""cancel_atr_mult"":0.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1465.0,430.0,180.0,243.0,41.86,29150.79,-21794.19,4.39,105.29,71.86,434402.5,-833603.75,-4.88,0.05,0.04,0.0039,0.0,329.0,98.0,45.0,51.0,45.92,26450.79,-15389.52,2.1,50.31,18.82,239760.00000000003,-114362.56000000003,40.54,0.69,0.63,0.0033,0.01,1794.0,528.0,225.0,294.0,42.61,27994.96,-20454.74,3.98,95.4,71.86,434402.5,-833603.75,28.52,0.14,0.11,0.0038,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,18,1.676,260,10,3,0.65,1.2,1,8,29,0.9,False,261.92,0.214,0.209,33.45,177,45.2,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":260,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.65,""cluster_atr_mult"":1.2,""confirmation_bars"":1,""cooldown_bars"":8,""retest_window"":29,""cancel_atr_mult"":0.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,810.0,177.0,80.0,97.0,45.2,76683.07,-36241.65,10.33,247.95,33.45,710124.4400000002,-192722.32000000012,261.92,0.55,0.53,0.0034,0.01,176.0,35.0,16.0,18.0,45.71,25643.91,-26389.55,6.71,161.14,27.16,104746.83000000016,-211089.59999999998,-6.47,-0.06,-0.05,0.0033,-0.0,986.0,211.0,95.0,115.0,45.02,78762.6,-45116.79,9.84,236.27,33.45,981722.5700000004,-743435.9999999999,229.4,0.43,0.42,0.0034,0.0
GAZP,retest_pivot,1h,Bayesian_TPE,19,0.259,259,8,4,0.65,1.2,1,8,30,0.8,False,101.74,0.122,0.1,47.93,128,45.31,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":259,""pivot_window"":8,""min_touches"":4,""tolerance_atr_mult"":0.65,""cluster_atr_mult"":1.2,""confirmation_bars"":1,""cooldown_bars"":8,""retest_window"":30,""cancel_atr_mult"":0.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,656.0,128.0,58.0,70.0,45.31,69649.18,-42890.83,15.2,364.8,47.93,447270.0099999999,-726803.57,103.73,0.31,0.26,0.0037,0.0,130.0,23.0,12.0,11.0,52.17,57816.56,-21908.29,10.15,243.7,15.77,203546.65999999997,-39782.510000000104,45.28,0.71,0.72,0.0035,0.02,786.0,151.0,70.0,81.0,46.36,75269.31,-42804.0,14.5,348.09,47.93,447270.0099999999,-726803.57,180.17,0.36,0.3,0.0037,0.0
