ticker,strategy_type,timeframe,method,trial_number,composite_score,param_macd_fast,param_macd_slow,param_macd_signal,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,macd,1D,Bayesian_TPE,10,1.933,10,48,15,False,144.34,0.491,0.581,36.66,87,33.33,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":10,""macd_slow"":48,""macd_signal"":15,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,174.0,87.0,29.0,58.0,33.33,132329.89,-41279.1,24.1,,36.66,461008.0500000001,-405885.14999999985,144.34,0.49,0.58,0.0133,0.02,21.0,10.0,5.0,5.0,50.0,28160.56,-24639.05,19.7,,19.84,56058.96999999993,-58972.5,1.76,0.15,0.15,0.011,0.01,195.0,97.0,34.0,63.0,35.05,145245.13,-44078.23,24.3,,36.66,872916.2399999998,-405885.14999999985,216.14,0.53,0.63,0.0134,0.02
GAZP,macd,1D,Bayesian_TPE,11,0.358,10,40,13,True,71.7,0.309,0.475,61.91,188,35.64,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":10,""macd_slow"":40,""macd_signal"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,188.0,188.0,67.0,121.0,35.64,59829.44,-27203.15,21.18,,61.91,292728.36000000004,-175692.5,71.7,0.31,0.48,0.0201,0.01,25.0,25.0,10.0,15.0,40.0,68372.69,-36628.33,16.52,,30.5,230216.64000000007,-72300.0,13.43,0.44,0.63,0.0155,0.02,213.0,213.0,77.0,136.0,36.15,77978.23,-33111.16,20.92,,61.91,660506.5800000001,-175692.5,150.12,0.38,0.59,0.0199,0.01
GAZP,macd,1D,Bayesian_TPE,12,2.18,10,39,12,True,229.93,0.503,0.818,53.05,196,36.22,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":10,""macd_slow"":39,""macd_signal"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,196.0,196.0,71.0,125.0,36.22,92232.69,-33993.55,20.32,,53.05,588906.7199999999,-191218.4799999998,229.93,0.5,0.82,0.0194,0.02,25.0,25.0,10.0,15.0,40.0,63583.2,-36791.52,16.56,,31.66,226137.39999999985,-81522.30000000002,8.4,0.32,0.47,0.0155,0.02,221.0,221.0,81.0,140.0,36.65,125525.82,-47023.22,20.17,,53.05,1261257.7599999998,-344790.60000000003,358.43,0.54,0.88,0.0192,0.02
GAZP,macd,1D,Bayesian_TPE,13,2.065,10,44,12,True,220.01,0.494,0.807,52.63,190,36.32,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":10,""macd_slow"":44,""macd_signal"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,190.0,190.0,69.0,121.0,36.32,91169.13,-33806.15,20.96,,52.63,561569.2500000001,-166365.53999999983,220.01,0.49,0.81,0.0194,0.02,25.0,25.0,10.0,15.0,40.0,64532.59,-35485.49,16.52,,33.27,230216.64000000007,-82075.44000000002,11.3,0.39,0.56,0.0155,0.02,215.0,215.0,79.0,136.0,36.74,124716.22,-46162.8,20.73,,52.63,1231037.1900000002,-337310.04000000004,357.44,0.54,0.89,0.0192,0.02
GAZP,macd,1D,Bayesian_TPE,14,0.426,12,38,12,True,79.54,0.322,0.495,60.15,178,35.39,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":12,""macd_slow"":38,""macd_signal"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,178.0,178.0,63.0,115.0,35.39,65232.21,-28819.41,22.37,,60.15,305598.1500000001,-182667.5,79.54,0.32,0.49,0.0201,0.01,25.0,25.0,10.0,15.0,40.0,68935.93,-35929.57,16.52,,29.52,230216.64000000007,-73327.5,15.04,0.47,0.68,0.0155,0.02,203.0,203.0,73.0,130.0,35.96,85061.94,-35053.17,21.95,,60.15,690669.2700000001,-182667.5,165.26,0.4,0.61,0.0199,0.01
GAZP,macd,1D,Bayesian_TPE,15,3.124,9,45,12,True,272.83,0.54,0.876,47.16,190,37.37,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":9,""macd_slow"":45,""macd_signal"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,190.0,190.0,71.0,119.0,37.37,107587.11,-41263.79,20.96,,47.16,765419.98,-245442.61999999976,272.83,0.54,0.88,0.0194,0.02,25.0,25.0,12.0,13.0,48.0,56033.71,-36644.18,16.56,,24.83,226137.39999999985,-81522.30000000002,19.6,0.57,0.85,0.0155,0.04,215.0,215.0,83.0,132.0,38.6,143411.79,-54447.98,20.73,,47.16,1425276.2299999995,-389621.28,471.6,0.6,0.98,0.0192,0.02
GAZP,macd,1D,Bayesian_TPE,16,3.129,12,46,8,True,279.36,0.546,0.887,48.75,204,34.31,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":12,""macd_slow"":46,""macd_signal"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,204.0,204.0,70.0,134.0,34.31,110538.71,-36896.7,19.52,,48.75,763920.2,-254314.03999999975,279.36,0.55,0.89,0.0193,0.02,27.0,27.0,9.0,18.0,33.33,67416.69,-26214.68,15.33,,25.4,203283.4,-77703.00000000001,13.49,0.44,0.65,0.0155,0.03,231.0,231.0,79.0,152.0,34.2,148830.11,-47623.85,19.29,,48.75,1450212.3299999996,-377891.20000000007,451.88,0.59,0.97,0.0192,0.02
GAZP,macd,1D,Bayesian_TPE,17,1.702,20,45,8,True,215.8,0.483,0.79,61.25,168,33.93,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":20,""macd_slow"":45,""macd_signal"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,168.0,168.0,57.0,111.0,33.93,98026.47,-30896.83,23.7,,61.25,545049.08,-242676.7499999999,215.8,0.48,0.79,0.02,0.02,21.0,21.0,10.0,11.0,47.62,73906.7,-34525.32,19.52,,23.7,211616.81999999983,-74677.5,35.93,0.89,1.28,0.0153,0.06,189.0,189.0,67.0,122.0,35.45,141525.95,-40736.06,23.58,,61.25,1168308.4999999998,-302872.5,451.24,0.58,0.95,0.0197,0.02
GAZP,macd,1D,Bayesian_TPE,18,2.169,12,44,8,False,140.45,0.5,0.64,32.38,106,32.08,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":12,""macd_slow"":44,""macd_signal"":8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,212.0,106.0,34.0,72.0,32.08,116750.19,-35625.12,19.69,,32.38,450128.2500000001,-203252.51,140.45,0.5,0.64,0.0125,0.02,27.0,13.0,4.0,9.0,30.77,27401.65,-18265.3,14.62,,22.44,55264.339999999946,-45239.52,-5.48,-0.1,-0.1,0.0116,-0.0,239.0,119.0,38.0,81.0,31.93,131185.06,-37922.1,19.65,,32.38,919175.1799999996,-203252.51,191.33,0.52,0.65,0.0128,0.02
GAZP,macd,1D,Bayesian_TPE,19,0.334,8,36,9,True,70.87,0.308,0.5,65.27,250,32.8,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":8,""macd_slow"":36,""macd_signal"":9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,250.0,250.0,82.0,168.0,32.8,55807.94,-23021.37,15.93,,65.27,329680.00000000006,-123756.6600000002,70.87,0.31,0.5,0.0193,0.01,35.0,35.0,14.0,21.0,40.0,70436.65,-29254.79,12.71,,18.71,198278.95999999993,-56343.55999999998,37.18,0.83,1.39,0.0175,0.08,285.0,285.0,96.0,189.0,33.68,66264.36,-26181.59,15.64,,65.27,348787.6399999999,-123756.6600000002,141.31,0.38,0.62,0.0192,0.01
