date,amount
2010-05-11,52
2011-05-05,59
2012-05-10,75
2012-11-13,40
2013-05-14,50
2013-08-16,45.5
2014-07-14,60
2014-12-24,60
2015-07-10,94
2015-12-22,65
2016-07-08,112
2016-12-22,75
2017-06-08,120
2017-07-07,120
2017-12-21,85
2018-07-10,130
2018-12-20,95
2019-07-08,155
2019-12-19,192
2020-07-09,350
2020-12-17,46
2021-07-02,213
2021-12-20,340
2022-12-20,793
2023-06-02,438
2023-12-15,447
2024-05-07,498
2024-12-17,514
