date,amount
2010-04-30,2.3
2011-04-20,2.76
2012-05-03,3.45
2012-09-20,4.08
2013-05-07,8.05
2014-07-07,12.85
2015-06-25,8.21
2016-06-23,11.75
2017-06-30,5.98
2017-10-09,3.83
2018-06-29,6.65
2018-10-08,14.58
2019-06-14,11.33
2019-10-10,15.34
2020-06-11,18.07
2021-06-14,6.94
2021-10-08,18.03
2022-07-08,23.63
2023-01-11,20.39
2023-07-10,17.97
2024-01-11,30.77
2024-07-09,29.01
