date,amount
2012-03-22,3.5
2012-09-07,3
2013-03-20,3.86
2013-09-17,3.4
2014-04-30,4.49
2014-10-24,5.1
2015-04-30,52
2015-10-07,6.6
2016-04-28,6.9
2016-10-07,6.9
2017-04-28,7
2017-10-09,6.95
2018-05-02,8
2018-10-09,9.25
2019-05-03,16.81
2019-10-09,14.23
2020-05-07,18.1
2020-10-09,11.82
2021-05-06,23.74
2021-10-08,27.67
2022-05-04,43.77
2022-10-06,45
2023-05-02,60.58
2023-10-10,34.5
2024-03-26,44.09
2024-10-11,35.5
