ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,engulfing,1D,DiffEvolution,154,1.078,0.0515269235360246,2.192294426825653,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,155,1.078,0.1165980262588709,3.3843709089792773,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,156,1.078,0.1499669123943376,1.7855538787973495,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,157,1.078,0.1579304296810304,2.0890356256823193,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,158,1.078,0.1505784206217338,1.7931114954775262,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,159,1.078,0.1285031138270097,2.536985949884481,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,160,0.043,0.1309275541618033,1.843613637366432,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,161,0.043,0.0588041165644095,2.063634504752424,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,162,1.078,0.0665984298508239,1.9681155500349985,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,163,1.078,0.1461678956238184,1.5995620030460875,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,164,1.078,0.1185854784257843,1.5881317231407628,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,165,0.043,0.1588774275518995,2.081269218015744,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,166,1.078,0.1119745142678392,2.0370001523949908,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,167,1.078,0.1876056981343058,1.5256033310382875,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,168,1.078,0.0629464203152855,1.733111833317697,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,169,0.043,0.1397472708426627,2.567233862618422,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,170,1.078,0.0666921503917227,1.8250817344420056,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,171,1.078,0.0443755125618437,3.3248953372240067,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,172,0.043,0.0398045251132201,1.9928573203434412,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,173,1.078,0.0857694075320704,1.5994904987298637,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,174,1.078,0.0963733788438336,3.388082556561855,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,175,1.078,0.189491326675969,1.85496937606574,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,176,1.078,0.0441224421916432,2.292554524983401,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,177,1.078,0.0597476724348962,2.887726684656789,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,178,1.078,0.1016531192214512,1.7252348177890569,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,179,1.078,0.1111880289681358,2.305135829756994,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,180,1.078,0.0562846685281062,2.1971374841053546,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,181,1.078,0.1464282227707393,3.292866399511695,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,182,1.078,0.1162818752411135,2.205384583780502,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,183,1.078,0.106268307530529,1.9044439007039553,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,184,0.043,0.1356983295307672,2.5226831538863372,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,185,1.078,0.1448907502227145,1.813983880071918,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,186,1.078,0.0666882791095749,1.8828903022201575,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,187,1.078,0.0626170884646564,2.035548629208235,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,188,0.043,0.0982323188080068,2.4099015536839996,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,189,0.043,0.1190067463479422,1.7544562756360855,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,190,1.078,0.0439503202416035,2.195119192391302,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,191,1.078,0.1758561906842853,2.9132850434978677,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,192,1.078,0.1083407048316395,2.8492756356916114,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,193,1.078,0.0574882223202738,3.151864617100032,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,194,1.078,0.0479039785639075,2.7906391666752333,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,195,1.078,0.0343511171455777,1.6301904586810338,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,196,1.078,0.0562686889485462,1.5439375529723738,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,197,1.078,0.0645348078617314,2.240414962927191,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,198,0.043,0.0718520901440353,1.5821462840538405,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,199,1.078,0.1783588319206531,1.8564927287317392,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,200,1.078,0.1664378831080237,2.5822276497576895,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,201,0.043,0.1281238506123332,2.227347598434248,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,202,1.078,0.0453646085205852,1.9291296401856997,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,203,1.078,0.0805829494283661,2.1957374904425437,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,204,1.078,0.196759202340979,1.5639186459383043,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,205,1.078,0.0430986113274727,1.601981432819915,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,206,1.078,0.1177229067320091,3.325402020714221,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,207,1.078,0.1276613177832035,1.621561015509947,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,208,1.078,0.1998358183247561,1.885605589353213,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,209,1.078,0.0410283380253784,1.6626529948353967,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,210,1.078,0.1197541268732468,2.1836788216610232,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,211,1.078,0.033124591447328,2.9763015096833794,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,212,0.043,0.1738427450306393,2.0998633396557733,True,15.43,0.211,0.263,75.81,137,40.88,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,213,1.078,0.1756530716379007,2.3188362358043855,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,214,1.078,0.1792014303779467,2.0531049724668264,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
SBER,engulfing,1D,DiffEvolution,215,1.078,0.1570192490720163,2.292314465324158,False,134.43,0.457,0.328,57.0,69,39.13,,,,,,,,,
