ticker,strategy_type,timeframe,method,trial_number,composite_score,param_vwap_window,param_vwap_tol,param_vwap_mode,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
VKCO,vwap,1D,DiffEvolution,1183,10.103,27,0.01,rolling,True,227.26,1.195,1.803,26.88,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1184,4.002,27,0.018,rolling,True,137.25,0.922,1.398,31.62,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.018,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1185,4.962,27,0.016,rolling,True,157.84,0.994,1.505,31.62,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.016,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1186,8.754,28,0.01,rolling,True,213.9,1.159,1.752,28.32,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":28,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1187,0.763,27,0.007,rolling,False,34.21,0.49,0.481,21.97,20,35.0,False,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.007,""vwap_mode"":""rolling"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1188,1.912,29,0.007,rolling,False,61.06,0.688,0.703,21.97,16,37.5,False,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":29,""vwap_tol"":0.007,""vwap_mode"":""rolling"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1189,6.87,29,0.005,rolling,True,194.11,1.105,1.672,31.22,39,38.46,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":29,""vwap_tol"":0.005,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1190,6.481,30,0.008,rolling,True,196.46,1.114,1.675,33.77,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":30,""vwap_tol"":0.008,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1191,7.219,28,0.006,rolling,True,190.96,1.096,1.659,28.99,37,40.54,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":28,""vwap_tol"":0.006,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1192,5.572,29,0.009,rolling,True,177.68,1.059,1.596,33.77,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":29,""vwap_tol"":0.009,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1193,8.754,28,0.01,rolling,True,213.9,1.159,1.752,28.32,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":28,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1194,10.103,27,0.01,rolling,True,227.26,1.195,1.803,26.88,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1195,10.103,27,0.01,rolling,True,227.26,1.195,1.803,26.88,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":27,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1196,0.687,26,0.011,yearly,True,55.32,0.606,0.877,48.81,22,27.27,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":26,""vwap_tol"":0.011,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1197,8.754,28,0.01,rolling,True,213.9,1.159,1.752,28.32,31,45.16,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":28,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
VKCO,vwap,1D,DiffEvolution,1198,0.738,28,0.01,yearly,True,57.39,0.619,0.895,48.12,22,27.27,True,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":28,""vwap_tol"":0.01,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20
