ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,harami,1D,DiffEvolution,35,7.942,0.1485089050419628,2.945533849298954,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,36,7.942,0.1181897057499736,1.8923368249088528,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,37,2.446,0.0742048264946788,2.657417129725218,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,38,7.942,0.0303691579494625,2.4040489867329597,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,39,2.446,0.1620312012825161,3.169244034215808,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,40,7.942,0.1719357954058796,1.6096179075539112,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,41,2.446,0.0432022498641163,2.8132892716675997,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,42,7.942,0.0844502471294254,2.121338238939643,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,43,2.446,0.1306949411239475,3.3248953372240067,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,44,2.446,0.1369821019656956,2.2707973290234804,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,45,7.942,0.0985816867835819,3.0368449576199055,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,46,2.446,0.0548032520338892,1.774613842368126,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,47,7.942,0.1807559953257441,2.5407908763736486,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,48,2.446,0.1857835451327264,1.8734137024730444,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,49,7.942,0.0597476724348962,2.576726481318474,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,50,2.446,0.1035982545465231,2.36144857481122,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,51,7.942,0.1419154592603445,3.065364258363843,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,52,7.942,0.1350472614634782,2.0264449268579483,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,53,2.446,0.0887196812499314,3.292866399511695,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,54,7.942,0.0475655573140829,1.5228723753243685,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,55,2.446,0.1762162976991385,2.7886755652725697,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,56,7.942,0.1676292803417891,2.495038790628314,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,57,2.446,0.0360504474770277,3.1973656490445137,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,58,7.942,0.0798126703966408,1.9908019416034224,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,59,2.446,0.123880679057911,2.693746605888009,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,60,2.446,0.1547809558361768,1.6558808460831642,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,61,7.942,0.1134937494248151,2.9213197361677885,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,62,2.446,0.072261966522783,2.1444110963493586,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,63,7.942,0.1959965205751359,3.4092475585639477,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,64,7.942,0.1083407048316395,1.7087327763438225,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,65,7.942,0.1638390810590928,3.151864617100032,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,66,2.446,0.1926725870426375,1.849199390324888,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,67,7.942,0.1633489304461755,2.6971259864355197,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,68,2.446,0.1808708340745174,2.464119287511477,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,69,2.446,0.0815652978513389,1.8153806837337705,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,70,2.446,0.0404429516103118,2.136451095206005,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,71,2.446,0.1640713950898498,2.634385242847255,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,72,7.942,0.1928507961874433,2.5822276497576895,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,73,7.942,0.1527253739940782,2.710179037081077,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,74,7.942,0.0674828987005073,2.443995167964886,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,75,7.942,0.1271733004121004,2.857161048799753,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,76,2.446,0.1606591224750007,1.86967679589405,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,77,7.942,0.0401298065500344,2.7087186394295424,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,78,7.942,0.1598276857895545,3.029662006688542,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,79,2.446,0.1276613177832035,1.5894432430178602,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,80,2.446,0.1189782330567414,2.436487389157292,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,81,2.446,0.1433087360378159,2.1092939913634003,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,82,2.446,0.1051117298163323,1.6461133088742914,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,83,2.446,0.1318036939360836,1.8689181021197667,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,84,2.446,0.0643899713568946,2.273414114087956,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,85,2.446,0.0976248849579466,2.5234148942294015,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,86,7.942,0.0441220443416386,2.0531049724668264,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,87,2.446,0.183925794524932,1.5664108761481597,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,88,7.942,0.1944281383738083,2.265568200806081,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,89,7.942,0.1808409320338731,1.7906533848410082,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,90,7.942,0.0736571646356831,2.016779863563371,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,91,2.446,0.0700360842090462,3.226011274382472,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,92,2.446,0.0420964654092446,1.502415076386263,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,93,2.446,0.176442812328383,2.0224762105159257,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,94,7.942,0.1505784206217338,1.7931114954775262,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,95,7.942,0.1938966877013445,1.85126876014528,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,96,2.446,0.1262231322309295,1.843613637366432,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,97,7.942,0.1792656971835577,2.615747351320146,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,98,2.446,0.038278124227988,3.075385435405127,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,99,7.942,0.1882344485861276,1.975681999268369,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,100,7.942,0.0466613064127259,1.5881317231407628,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,101,2.446,0.0843248098596596,2.3518712974653626,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,102,7.942,0.0614970645567018,2.4040489867329597,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,103,7.942,0.1780985367734381,2.303597581123892,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,104,7.942,0.116431456833741,1.733111833317697,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,105,2.446,0.1397472708426627,2.257597067867372,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,106,7.942,0.1921189830515783,2.512751983816111,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,107,7.942,0.079180004915471,3.3248953372240067,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,108,2.446,0.1731681140305647,2.093224964314186,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,109,7.942,0.0588808024472397,1.5994904987298637,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,110,2.446,0.0515805503383453,1.8547447108140396,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,111,2.446,0.1181554870731747,2.0308087364123297,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,112,2.446,0.1236975903106345,1.8734137024730444,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,113,2.446,0.071794065223878,2.576726481318474,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,114,7.942,0.1982159066753348,2.8686284978506897,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,115,7.942,0.1419154592603445,2.1696358391419945,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,116,7.942,0.0542346143556296,2.2642789496651385,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,117,7.942,0.1704054464700483,3.292866399511695,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,118,7.942,0.0788276772330025,2.6094636065647085,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,119,7.942,0.1090504522128424,2.779471492130953,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,120,2.446,0.152043463383495,2.495038790628314,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,121,2.446,0.0360504474770277,2.452121648035538,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,122,2.446,0.1619732778972996,2.840868667593835,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,123,2.446,0.0626170884646564,2.7836390336028707,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,124,2.446,0.0779988838654232,1.6558808460831642,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,125,2.446,0.1132394929254455,2.330886001184179,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,126,2.446,0.072261966522783,2.195119192391302,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,127,7.942,0.169650872522405,2.1707432124349246,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,128,2.446,0.033131838316182,1.7087327763438225,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,129,2.446,0.0612576509692939,1.896553561218141,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,130,2.446,0.0680719011891726,2.2126529458910227,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,131,7.942,0.0536195035051705,1.6301904586810338,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,132,7.942,0.1808708340745174,2.5641736478760224,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,133,7.942,0.1067266924324677,2.010621532070626,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,134,2.446,0.1859711984264641,1.815273354724595,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,135,7.942,0.1127846046044784,2.636980826035142,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,136,2.446,0.108053486537714,2.5822276497576895,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,137,7.942,0.1371489444345956,1.8875782600467097,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,138,7.942,0.0453646085205852,1.9291296401856997,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,139,2.446,0.1057522305004167,1.8451700435928249,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,140,7.942,0.145665504001081,1.6654620466091723,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,141,7.942,0.0409072609267971,1.732920559742009,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,142,7.942,0.0940066159366899,3.029662006688542,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,143,7.942,0.1276613177832035,1.8053242184501723,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,144,7.942,0.0546331151531171,2.3431809563189745,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,145,7.942,0.1129736977438098,1.6626529948353967,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,146,7.942,0.0950030495785176,1.8311364352703097,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,147,7.942,0.1318036939360836,2.9763015096833794,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,148,7.942,0.1061417468455444,1.87827739265348,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,149,7.942,0.1297011677657856,2.2837770102840835,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,150,2.446,0.0441220443416386,1.805654274318372,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,151,7.942,0.1698367710502817,3.256410300731659,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,152,7.942,0.1800692682868444,2.2627267621054563,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,153,2.446,0.0706150972185548,1.7906533848410082,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,154,7.942,0.0515269235360246,2.192294426825653,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,155,7.942,0.1165980262588709,3.3843709089792773,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,156,7.942,0.1499669123943376,1.7855538787973495,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,157,7.942,0.1579304296810304,2.0890356256823193,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,158,7.942,0.1505784206217338,1.7931114954775262,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,159,7.942,0.1285031138270097,2.536985949884481,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,160,2.446,0.1309275541618033,1.843613637366432,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,161,2.446,0.0588041165644095,2.063634504752424,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,162,7.942,0.0665984298508239,1.9681155500349985,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,163,7.942,0.1461678956238184,1.5995620030460875,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,164,7.942,0.1185854784257843,1.5881317231407628,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,165,2.446,0.1588774275518995,2.081269218015744,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,166,7.942,0.1119745142678392,2.0370001523949908,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
