ticker,strategy_type,timeframe,method,trial_number,composite_score,param_ensemble_window,param_min_votes,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,candle_ensemble,1D,DiffEvolution,907,1.609,3,3,0.090436590354759,2.2174888286463896,True,235.54,0.516,0.599,75.56,3,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,908,0.219,7,3,0.1125882521144647,2.8229525410804364,False,37.88,0.243,0.249,42.06,17,52.94,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,909,6.735,7,3,0.0576437673607671,2.32767843587627,True,950.59,0.627,0.935,88.49,13,76.92,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,910,4.217,7,3,0.0740066121821032,2.790918223436694,False,260.12,0.712,0.618,43.92,8,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,911,1.97,9,4,0.0840949954467979,2.3212419112923284,False,249.02,0.584,0.439,73.81,4,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,912,3.096,8,3,0.0766260904505335,2.2994751964984435,False,183.19,0.582,0.51,34.44,14,78.57,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,913,0.156,9,4,0.1505526054977614,1.9253691266463624,True,41.4,0.278,0.335,73.81,25,68.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,914,5.215,8,3,0.1401837302115476,2.9949872054882305,False,298.6,0.654,0.667,37.45,34,70.59,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,915,-0.417,8,4,0.0597495747069416,2.8525003971464606,True,-211.68,0.448,3.655,227.52,2,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,916,2.816,8,3,0.1595584393385644,2.2592172488891613,False,184.52,0.549,0.496,35.97,47,63.83,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,917,0.343,7,4,0.1252097489762836,3.0793399248484925,True,77.06,0.345,0.471,77.54,4,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,918,0.28,5,3,0.0610168258678259,2.9928023267827415,True,-105.62,-0.27,-0.206,101.79,6,33.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,919,29.009,7,3,0.0642292867764671,2.9230415259907954,False,1022.52,1.246,1.25,43.92,7,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,920,2.643,6,4,0.0498844944688391,2.475928636445432,True,334.57,0.583,0.666,73.81,2,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,921,0.674,8,4,0.0566584596061424,2.301387215685982,True,128.15,0.388,0.516,73.81,5,60.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,922,16.292,8,3,0.0775346567030224,3.2296166548942695,False,561.73,0.987,0.942,34.03,13,92.31,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,923,1.291,6,3,0.0571235416241335,2.575364651011049,True,249.94,0.457,0.687,88.49,10,70.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,924,0.009,8,3,0.0343975366713925,3.069583587850902,True,-98.62,-0.04,-0.046,452.85,4,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,925,-0.426,7,4,0.121157883950347,3.1647456561392207,True,-188.12,0.447,3.631,197.24,2,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,926,0.386,7,3,0.1152355992550148,2.920208088927721,True,-105.04,-0.4,-0.29,108.96,7,42.86,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,927,2.099,10,3,0.0608273915869438,3.084636673791409,True,255.98,0.523,0.616,63.77,30,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,928,0.897,8,3,0.0448079200973078,2.5650509111583233,False,83.41,0.372,0.355,34.61,7,85.71,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,929,1.436,8,3,0.0561855653754089,2.372181345649868,False,113.43,0.436,0.424,34.44,9,88.89,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,930,2.134,6,4,0.0609670792577691,2.645311550423025,False,283.3,0.556,0.589,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,931,0.972,6,3,0.0498057242810606,2.641512696256068,True,199.03,0.432,0.651,88.49,8,62.5,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,932,3.92,9,3,0.0712518767138064,3.143601454836392,True,426.6,0.604,0.836,65.73,30,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,933,0.167,5,3,0.1633375205331295,2.190538735518204,True,-81.3,-0.185,-0.235,90.28,29,48.28,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,934,7.25,7,3,0.0518978234318989,2.709068814904346,True,1008.73,0.636,0.96,88.49,10,80.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,935,2.024,7,4,0.0788547333198054,2.525183076787898,False,269.14,0.555,0.532,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,936,0.583,6,3,0.0380177350724082,2.5697956179610184,True,132.63,0.389,0.587,88.57,8,62.5,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,937,1.743,9,3,0.1296585385913942,3.346889507726236,True,205.13,0.479,0.714,56.38,65,50.77,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,938,0.699,9,3,0.067990664650609,3.037091026484947,False,125.32,0.421,0.323,75.49,15,80.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,939,-0.016,6,2,0.0331606499659156,2.194542409965953,True,-69.94,0.022,0.027,96.46,71,57.75,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,940,0.4,6,3,0.0445191471861826,3.311250866463132,True,86.5,0.438,0.627,94.78,6,83.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,941,0.022,5,3,0.0498609264403845,1.9855797304748897,True,6.77,0.288,0.404,89.07,8,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,942,0.221,8,3,0.077210174868263,2.906020651479753,True,-217.16,-0.291,-0.21,285.59,8,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,943,0.964,8,3,0.0348162409426708,2.640747019284891,False,81.3,0.405,0.354,34.17,6,83.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,944,1.074,9,2,0.0620139177002327,3.4562547903291234,False,148.28,0.454,0.36,62.66,55,60.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,945,0.175,6,3,0.0762063986030786,2.370064356331679,True,-231.91,-0.282,-0.204,373.67,6,16.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,946,0.03,5,3,0.056990795155772,3.2236573395586805,False,12.78,0.176,0.124,73.76,3,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,947,0.246,5,4,0.039751481778942,1.6515845812314192,True,-227.33,-0.249,-0.178,229.8,2,0.0,,,,,,,,,
