,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue
2023-06-30,0.0,0.215899,377559394000.0,572740817000.0,356705854000.0,929446671000.0,377559394000.0,377614750000.0,377614750000.0,377614750000.0,377614750000.0,377670106000.0,55356000.0,377614750000.0,103974588000.0,481589338000.0,-43459861000.0,319163338000.0,79390040000.0,239773298000.0,239773298000.0,715020826000.0,715020826000.0
2023-03-31,0.0,0.265486,350166502000.0,541418004000.0,327798766000.0,869216770000.0,350166502000.0,350205183000.0,350205183000.0,350205183000.0,350205183000.0,350243864000.0,38681000.0,350205183000.0,126580021000.0,476785204000.0,-40854029000.0,204510036000.0,0.0,204510036000.0,204510036000.0,669955275000.0,669955275000.0
