,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2020-12-31,-428840819.107869,0.164622,996627000000.0,-2605000000.0,-2605000000.0,742871000000.0,83777000000.0,196145000000.0,994022000000.0,910245000000.0,113183000000.0,20936000000.0,134119000000.0,745047159180.8921,742871000000.0,907554000000.0,165063000000.0,,,,,691114000000.0,691114000000.0,0.0,51757000000.0,742871000000.0,-38000000.0,742909000000.0,742909000000.0,146400000000.0,889309000000.0,1780000000.0,-2605000000.0,2605000000.0,2605000000.0,113183000000.0,20936000000.0,134119000000.0,167668000000.0,711409000000.0,496672000000.0,94233000000.0,94233000000.0,879077000000.0,196145000000.0,1075222000000.0,1075222000000.0
2019-12-31,295267491.631248,0.201136,224016000000.0,1468000000.0,1468000000.0,106162000000.0,71072000000.0,193305000000.0,225484000000.0,154412000000.0,120265000000.0,21477000000.0,141742000000.0,104989267491.63124,106162000000.0,1177343000000.0,393007000000.0,38495855109.0,38495855109.0,2.74,2.74,98691000000.0,98691000000.0,0.0,7471000000.0,106162000000.0,-35000000.0,106197000000.0,106197000000.0,26738000000.0,132935000000.0,-21370000000.0,-526000000.0,526000000.0,526000000.0,120265000000.0,21477000000.0,141742000000.0,393533000000.0,984038000000.0,761282000000.0,109008000000.0,109008000000.0,1377571000000.0,193305000000.0,1570876000000.0,1570876000000.0
