code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
SBER,2023,6,Q,МСФО,1000000,RUB,597600,256700,1038400,,854300,,,216300,,,,-95000,502600,,380300,381400,361700,362700
SBER,2023,6,Q,РСБУ,1000,RUB,572740817,,929446671,,827148208,,,,,,,,481589338,,377614750,377614750,,
SBER,2023,9,9M,МСФО,1000000,RUB,1828300,763600,3153300,,2591900,,,632400,,,,-322600,1505700,,1148900,1152000,979900,982900
SBER,2023,9,9M,РСБУ,1000,RUB,1748403360,,2910115828,,2519885463,,,,,,,,1454715035,,1129260124,1129260124,,
SBER,2023,9,Q,МСФО,1000000,RUB,667900,279800,1154600,,947700,,,234200,,,,-146200,521700,,411400,411700,287300,287500
SBER,2023,9,Q,РСБУ,1000,RUB,634244539,,1111452387,,927114771,,,,,,,,496340493,,401440191,401440191,,
SBER,2023,12,6M,МСФО,1000000,RUB,1404200,590900,2506500,,2043800,,,526200,,,,-403500,1000700,,771100,771500,684600,685000
SBER,2023,12,6M,РСБУ,1000,RUB,1324174484,,2494307639,,1944530944,,,,,,,,907135584,,752998619,752998619,,
SBER,2023,12,Q,МСФО,1000000,RUB,736300,311100,1351900,,1096100,,,292000,,,,-257300,479000,,359700,359800,397300,397500
SBER,2023,12,Q,РСБУ,1000,RUB,689929945,,1382855252,,1017416173,,,,,,,,410795091,,351558428,351558428,,
SBER,2023,12,Y,МСФО,1000000,RUB,2564600,1074700,4505200,48700,3688000,,,924400,2909100,,,-579900,1984700,1508600,1508600,1511800,1377200,1380400
SBER,2023,12,Y,РСБУ,1000,RUB,2438333305,1056713434,4292971080,,3537301636,,,,,,,,1865510126,,1480818552,1480818552,,
SBER,2024,3,Q,МСФО,1000000,RUB,699900,256600,1580100,300,956800,,,227600,,,,-191200,508700,,397400,397600,316000,316200
SBER,2024,3,Q,РСБУ,1000,RUB,650077905,246816020,1505727876,,904570534,,,,,,,,448085686,,363984622,363984622,,
SBER,2024,6,6M,МСФО,1000000,RUB,1413100,546400,3262000,13200,1972700,,,480300,,,,-383300,1029800,,816100,816300,567500,567700
SBER,2024,6,6M,РСБУ,1000,RUB,1310145838,530663054,3107334308,,1859067272,,,,,,,,942173211,,768741123,768741123,,
SBER,2024,6,Q,МСФО,1000000,RUB,713200,289800,1681900,12900,1015900,,,252700,,,,-192100,521100,,418700,418700,251500,251500
SBER,2024,6,Q,РСБУ,1000,RUB,660067933,283847034,1601606432,,954496738,,,,,,,,494087525,,404756501,404756501,,
SBER,2024,9,9M,МСФО,1000000,RUB,2175200,852800,5195900,39500,3067500,,,754600,,,,-583900,1591300,,1227200,1228000,904600,905400
SBER,2024,9,9M,РСБУ,1000,RUB,2014458886,828304001,4961925310,,2872783124,,,,,,,,1462757302,,1193217895,1193217895,,
SBER,2024,9,Q,МСФО,1000000,RUB,762100,306400,1933900,26300,1094800,,,274300,,,,-200600,561500,,411100,411700,337100,337700
SBER,2024,9,Q,РСБУ,1000,RUB,704313048,297640947,1854591002,,1013715852,,,,,,,,520584091,,424476772,424476772,,
SBER,2024,12,6M,МСФО,1000000,RUB,1586500,625700,4242300,34300,2246500,,,582300,,,,-581700,1004800,,764200,765300,759300,760400
SBER,2024,12,6M,РСБУ,1000,RUB,1448554676,610299249,4063398896,,2072253577,,,,,,,,916206188,,786187774,786187774,,
SBER,2024,12,Q,МСФО,1000000,RUB,824400,319300,2308400,8000,1151700,,,308000,,,,-381100,443300,,353100,353600,422200,422700
SBER,2024,12,Q,РСБУ,1000,RUB,744241628,312658302,2208807894,,1058537725,,,,,,,,395622097,,361711002,361711002,,
SBER,2024,12,Y,МСФО,1000000,RUB,2999600,1172100,7504300,47500,4219200,,,1062600,,,,-965000,2034600,,1580300,1581600,1326800,1328100
SBER,2024,12,Y,РСБУ,1000,RUB,2758700514,1140962303,7170733204,31658032,3931320849,,,,,,,,1858379399,,1554928897,1554928897,,
SBER,2025,3,Q,МСФО,1000000,RUB,832400,272900,2406900,8200,1113500,,,262100,,,,-257200,575200,,436100,436000,461000,460900
SBER,2025,3,Q,РСБУ,1000,RUB,756313387,263725791,2295434706,,1028615576,,,,,,,,512770116,,404524384,404524384,,
SBER,2025,6,6M,МСФО,1000000,RUB,1674200,570100,4824400,20900,2265200,,,555000,,,,-557700,1116500,,859000,858600,1018900,1018500
SBER,2025,6,6M,РСБУ,1000,RUB,1523169123,550644703,4600560029,,2095629761,,,,,,,,1047766501,,826582992,826582992,,
SBER,2025,6,Q,МСФО,1000000,RUB,841800,297200,2417500,12700,1151700,,,292900,,,,-300500,541300,,422900,422600,557900,557600
SBER,2025,6,Q,РСБУ,1000,RUB,766855736,286918912,2305125323,,1067014185,,,,,,,,534996385,,422058608,422058608,,
SBER,2025,9,9M,МСФО,1000000,RUB,2567800,885700,7213100,27600,3481100,,,863600,,,,-855400,1712400,,1307300,1308400,1466600,1467700
SBER,2025,9,9M,РСБУ,1000,RUB,2358589590,853705663,6886538005,32126646,3244421899,,,,,,,,1609652127,1269755765,1269854563,1269854563,1461422848,1461422848
SBER,2025,9,Q,МСФО,1000000,RUB,893600,315600,2388700,6700,1215900,,,308600,,,,-297700,595900,,448300,449800,447700,449200
SBER,2025,9,Q,РСБУ,1000,RUB,835420467,303060960,2285977976,,1148792138,,,,,,,,561885626,,443271571,443271571,,
SBER,2025,12,6M,МСФО,1000000,RUB,1881800,647000,4821100,39100,2567900,,,682400,,,,,1133500,,846900,848800,940500,942400
SBER,2025,12,6M,РСБУ,1000,RUB,1737749144,623976865,4584655995,,2401819604,,,,,,,,1103335869,,856161803,,,
SBER,2025,12,Q,МСФО,1000000,RUB,988200,331400,2432400,32400,1352000,,,373800,,,,,537600,,398600,399000,492800,493200
SBER,2025,12,Q,РСБУ,1000,RUB,902328677,320915905,2298678019,29782884,1253027466,,,,,,,,541450243,412896263,412890232,,475011728,
SBER,2025,12,Y,МСФО,1000000,RUB,3556000,1217100,9645500,60000,4833100,,,1237400,,,,,2250000,,1705900,1707400,1959400,1960900
SBER,2025,12,Y,РСБУ,1000,RUB,3260918267,1174621568,9185216024,61909530,4497449365,,,,,,,,2151102370,1682652028,1682744795,,1936434576,
SBER,2025,12,YTM,МСФО,1000000,RUB,3556000,1217100,9645500,60000,4833100,,,1237400,,,,,2250000,,1705900,1707400,1959400,1960900
SBER,2025,12,YTM,РСБУ,1000,RUB,3260918267,1174621568,9185216024,61909530,4497449365,,,,,,,,2151102370,1682652028,1682744795,,1936434576,
