code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
NVTK,2017,9,Q,РСБУ,1000,RUB,469134,,2001219,,105540709,55608531,49932178,26242371,21293188,2923839,,2923839,3392973,,-1574080,-1574080,,
NVTK,2017,12,6M,МСФО,1000000,RUB,3391,,6992,,299728,,,9266,83065,119555,,102092,105483,,88020,82126,,
NVTK,2017,12,6M,РСБУ,1000,RUB,796437,,3781102,,240224382,125756674,114467708,58721732,51922885,40916707,,40828189,41624626,,30468118,30468118,,
NVTK,2017,12,Q,РСБУ,1000,RUB,327303,,1779883,,134683673,70148143,64535530,32479361,30629697,37992868,,37904350,38231653,,32042198,32042198,,
NVTK,2017,12,Y,МСФО,1000000,RUB,8160,,15872,,583186,,,17170,163751,227202,256464,192679,200839,,166470,156387,,
NVTK,2017,12,Y,РСБУ,1000,RUB,3223634,,9458015,,468541723,244797897,223743826,118674924,96411878,139831393,,139742875,142966509,,120532304,120532304,,
NVTK,2018,3,Q,МСФО,1000000,RUB,1972,,3191,,179403,,,4593,50113,62803,76306,54706,56678,,46929,43121,,
NVTK,2018,3,Q,РСБУ,1000,RUB,384843,,1699204,,133099442,72899364,60200078,33430428,24694884,32690052,,32690052,33074895,,27199827,27199827,,
NVTK,2018,6,6M,МСФО,1000000,RUB,4157,,6586,,375225,,,9672,109708,118033,177645,101281,105438,,84203,75162,,
NVTK,2018,6,6M,РСБУ,1000,RUB,798345,,3505511,,268911896,146893749,122018147,61594201,54172045,82199055,,82199055,82997400,,70823331,70823331,,
NVTK,2018,6,Q,МСФО,1000000,RUB,2185,,3395,,195822,,,5079,59595,55230,101339,46575,48760,,37274,32041,,
NVTK,2018,6,Q,РСБУ,1000,RUB,413502,,1806307,,135812454,73994385,61818069,28163773,29477161,49509003,,49509003,49922505,,43623504,43623504,,
NVTK,2018,9,9M,МСФО,1000000,RUB,6710,,10252,,594591,,,15612,171686,188587,295736,163324,170034,,135600,121062,,
NVTK,2018,9,9M,РСБУ,1000,RUB,1190987,,5356591,,402054898,221088404,180966494,88613190,83050070,290159029,,290159029,291350016,,271998029,271998029,,
NVTK,2018,9,Q,МСФО,1000000,RUB,2553,,3666,,219366,,,5940,61978,70554,118091,62043,64596,,51397,45900,,
NVTK,2018,9,Q,РСБУ,1000,RUB,392642,,1851080,,133143002,74194655,58948347,27018989,28878025,207959974,,207959974,208352616,,201174698,201174698,,
NVTK,2018,12,6M,МСФО,1000000,RUB,589,,7417,,456533,,,12610,117476,138849,237651,122507,123096,,98744,88580,,
NVTK,2018,12,6M,РСБУ,1000,RUB,1243725,,4200150,,291735768,163442575,128293193,60407395,63079784,102931850,,102737514,103981239,,88361497,88361497,,
NVTK,2018,12,Q,МСФО,1000000,RUB,-1964,,3751,,237167,,,6670,55498,68295,119560,60464,58500,,47347,42680,,
NVTK,2018,12,Q,РСБУ,1000,RUB,851083,,2349070,,158592766,89247920,69344846,33388406,34201759,-105028124,,-105222460,-104371377,,-112813201,-112813201,,
NVTK,2018,12,Y,МСФО,1000000,RUB,4746,,14003,,831758,,,22282,227184,256882,415296,223788,228534,,182947,163742,,
NVTK,2018,12,Y,РСБУ,1000,RUB,2042070,,7705661,,560647664,310336324,250311340,122001596,117251829,185130905,,184936569,186978639,,159184828,159184828,,
NVTK,2019,3,Q,МСФО,1000000,RUB,3239,,4330,,234106,,,5033,366630,435830,117942,428343,431582,,386258,381796,,
NVTK,2019,3,Q,РСБУ,1000,RUB,980416,,2444850,,135491941,77677247,57814694,33578810,21304214,29295778,,29295778,30276194,,28928426,28928426,,
NVTK,2019,6,6M,МСФО,1000000,RUB,6773,,8976,,452619,,,9798,427389,524067,233777,508573,515346,,460156,450971,,
NVTK,2019,6,6M,РСБУ,1000,RUB,1749159,,4665463,,267977531,151383900,116593631,62805477,46032528,97308565,,97308565,99057724,,93263725,93263725,,
NVTK,2019,6,Q,МСФО,1000000,RUB,3534,,4646,,218513,,,4765,60759,88237,115835,80230,83764,,73898,69175,,
NVTK,2019,6,Q,РСБУ,1000,RUB,768743,,2220613,,132485590,73706653,58778937,29226667,24728314,68012787,,68012787,68781530,,64335299,64335299,,
NVTK,2019,9,9M,МСФО,1000000,RUB,11577,,14909,,641781,,,16420,842510,967021,338296,943344,954921,,834332,820930,,
NVTK,2019,9,9M,РСБУ,1000,RUB,2636605,,6997999,,385877910,215963956,169913954,90779769,67637431,213004305,,213004305,215640910,,206094962,206094962,,
NVTK,2019,9,Q,МСФО,1000000,RUB,4804,,5933,,189162,,,6622,415121,442954,104519,434771,439575,,374176,369959,,
NVTK,2019,9,Q,РСБУ,1000,RUB,887446,,2332536,,117900379,64580056,53320323,27974292,21604903,115695740,,115695740,116583186,,112831237,112831237,,
NVTK,2019,12,6M,МСФО,1000000,RUB,9435,,11723,,410184,,,14770,442200,495070,227380,478334,487769,,423305,414506,,
NVTK,2019,12,6M,РСБУ,1000,RUB,1641655,,4494781,,260566854,143345542,117221312,61703799,49838237,150533884,,150300174,151941829,,143960785,143960785,,
NVTK,2019,12,Q,МСФО,1000000,RUB,4631,,5790,,221022,,,8148,27079,52116,122861,43563,48194,,49129,44547,,
NVTK,2019,12,Q,РСБУ,1000,RUB,754209,,2162245,,142666475,78765486,63900989,33729507,28233334,34838144,,34604434,35358643,,31129548,31129548,,
NVTK,2019,12,Y,МСФО,1000000,RUB,16208,,20699,,862803,,,24568,869589,1019137,461157,986907,1003115,,883461,865477,,
NVTK,2019,12,Y,РСБУ,1000,RUB,3390814,,9160244,,528544385,294729442,233814943,124509276,95870765,247842449,,247608739,250999553,,237224510,237224510,,
NVTK,2020,3,Q,МСФО,1000000,RUB,4553,,5756,,184562,,,5664,4791,5331,100668,-3540,1013,,-27612,-30680,,
NVTK,2020,3,Q,РСБУ,1000,RUB,760733,,2299619,,130351057,70738392,59612665,33835280,22014178,143999484,,143999484,144760217,,125560634,125560634,,
NVTK,2020,6,6M,МСФО,1000000,RUB,9196,,11641,,328501,,,9990,18414,44390,171938,26544,35740,,15284,10884,,
