code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
LKOH,2020,6,6M,РСБУ,1000,RUB,-9027451,,15772877,,173880311,9285385,164594926,329783,150028310,118360398,,118360398,109332947,,109188911,109188911,,
LKOH,2020,6,Q,МСФО,1000000,RUB,-8638,,2685,,986427,394970,591457,52412,43691,103570,144500,2845,-5793,,-18457,-18720,,
LKOH,2020,6,Q,РСБУ,1000,RUB,-3939243,,7681836,,112784495,4063647,108720848,178695,101378755,98741222,,98741222,94801979,,94883359,94883359,,
LKOH,2020,9,9M,МСФО,1000000,RUB,-22148,,11121,,4109062,2157305,1951757,143009,182600,374999,497500,60117,37969,,-13329,-14260,,
LKOH,2020,9,9M,РСБУ,1000,RUB,-13731153,,22797608,,183883677,13653530,170230147,469426,147750831,91547594,,91547594,77816441,,77587636,77587636,,
LKOH,2020,9,Q,МСФО,1000000,RUB,-8072,,3625,,1456650,790660,665990,45488,98784,177679,202200,74240,66168,,50912,50420,,
LKOH,2020,9,Q,РСБУ,1000,RUB,-4703702,,7024731,,10003366,4368145,5635221,139643,-2277479,-26812804,,-26812804,-31516506,,-31601275,-31601275,,
LKOH,2020,12,6M,МСФО,1000000,RUB,-16995,,5555,,2986989,1634271,1352718,101506,197838,337978,391800,143981,126986,,80874,79855,,
LKOH,2020,12,6M,РСБУ,1000,RUB,-9165304,,12557817,,148931655,6613394,142318261,317423,125844671,95213850,,94331146,85165842,,88370200,88370200,,
LKOH,2020,12,Q,МСФО,1000000,RUB,-8923,,1930,,1530339,843611,686728,56018,99054,160299,189600,69741,60818,,29962,29435,,
LKOH,2020,12,Q,РСБУ,1000,RUB,-4461602,,5533086,,138928289,2245249,136683040,177780,128122150,121143950,,121143950,116682348,,119971475,119971475,,
LKOH,2020,12,Y,МСФО,1000000,RUB,-31071,,13051,,5639401,3000916,2638485,199027,281654,535298,687100,129858,98787,,16633,15175,,
LKOH,2020,12,Y,РСБУ,1000,RUB,-18192755,,28330694,,322811966,15898779,306913187,647206,275872981,213574248,,212691544,194498789,,197559111,197559111,,
LKOH,2021,3,Q,МСФО,1000000,RUB,-7187,,2164,,1876483,1029125,847358,46032,200666,319880,314400,206166,198979,,157967,157427,,
LKOH,2021,3,Q,РСБУ,1000,RUB,-3897491,,4902160,,330917569,276302039,54615530,18634298,28579840,19933370,,19933370,16035879,,12801734,12801734,,
LKOH,2021,6,6M,МСФО,1000000,RUB,-13775,,4865,,4078367,2243508,1834859,100401,433994,662972,654200,442744,428969,,348363,347177,,
LKOH,2021,6,6M,РСБУ,1000,RUB,-8210674,,10269404,,910364256,668813729,241550527,45999838,179693484,160126011,,160126011,151915337,,145564651,145564651,,
LKOH,2021,6,Q,МСФО,1000000,RUB,-6588,,2701,,2201884,1214383,987501,54369,233328,343092,339800,236578,229990,,190396,189750,,
LKOH,2021,6,Q,РСБУ,1000,RUB,-4313183,,5367244,,579446687,392511690,186934997,27365540,151113644,140192641,,140192641,135879458,,132762917,132762917,,
LKOH,2021,9,9M,МСФО,1000000,RUB,-18380,,9506,,6667112,3817678,2849434,155867,681767,1017148,1009400,689517,671137,,541482,539652,,
LKOH,2021,9,9M,РСБУ,1000,RUB,-12968799,,16693603,,1534297556,1098861273,435436283,72300416,338791601,317877009,,317877009,304908210,,286265893,286265893,,
LKOH,2021,9,Q,МСФО,1000000,RUB,-4605,,4641,,2588745,1574170,1014575,55466,247773,354176,355200,246773,242168,,193119,192475,,
