code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
ROSN,2017,12,Y,РСБУ,1000,RUB,-479141734,141504417,-1004902809,,,212862768,1046775317,,,4064309309,3017533992,-692004502,,,,,
ROSN,2018,3,Q,МСФО,1000000,RUB,271000,152000,-221000,,,223000,-67000,,,,,48000,142000,,,,
ROSN,2018,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,6,6M,МСФО,1000000,RUB,619000,309000,-570000,,,452000,-90000,,,,,167000,363000,,,,
ROSN,2018,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,6,Q,МСФО,1000000,RUB,348000,157000,-349000,,,229000,-23000,,,,,119000,221000,,,,
ROSN,2018,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,9,9M,МСФО,1000000,RUB,1126000,472000,-748000,,,679000,-283000,,,,,447000,872000,,,,
ROSN,2018,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,9,Q,МСФО,1000000,RUB,507000,163000,-178000,,,227000,-193000,,,,,280000,509000,,,,
ROSN,2018,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,12,6M,МСФО,1000000,RUB,883000,326000,-229000,,,487000,-138000,,,,,396000,770000,,,,
ROSN,2018,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,12,Q,МСФО,1000000,RUB,376000,163000,-51000,,,260000,55000,,,,,116000,261000,,,,
ROSN,2018,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2018,12,Y,МСФО,1000000,RUB,1502000,635000,-799000,,,939000,-228000,,,,,563000,1133000,,,,
ROSN,2018,12,Y,РСБУ,1000,RUB,186582853,131827944,231729144,,,203655854,62615740,,,3401044264,3338428524,-17073001,,,,,
ROSN,2019,3,Q,МСФО,1000000,RUB,248000,174000,-224000,,,214000,-530000,,,,,34000,197000,,,,
ROSN,2019,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,6,6M,МСФО,1000000,RUB,462000,338000,-389000,,,436000,-633000,,,,,26000,332000,,,,
ROSN,2019,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,6,Q,МСФО,1000000,RUB,214000,164000,-165000,,,222000,-103000,,,,,-8000,135000,,,,
ROSN,2019,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,9,9M,МСФО,1000000,RUB,768000,510000,-547000,,,634000,-809000,,,,,134000,613000,,,,
ROSN,2019,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,9,Q,МСФО,1000000,RUB,306000,172000,-158000,,,198000,-176000,,,,,108000,281000,,,,
ROSN,2019,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,12,6M,МСФО,1000000000,RUB,648,349,-340,,,418,-324,,,,,230,609,,,,
ROSN,2019,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,12,Q,МСФО,1000000000,RUB,342,177,-182,,,220,-148,,,,,122,328,,,,
ROSN,2019,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2019,12,Y,МСФО,1000000000,RUB,1110,687,-729,,,854,-957,,,,,256,941,,,,
ROSN,2019,12,Y,РСБУ,1000,RUB,-601269446,149353651,472888250,,,188557971,-321709981,,,3502514309,3824224290,-789827417,,,,,
ROSN,2020,3,Q,МСФО,1000000,RUB,341000,176000,-186000,,,185000,-131000,,,,,156000,219000,,,,
ROSN,2020,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,6,6M,МСФО,1000000000,RUB,383,341,-365,,,367,-41,,,,,16,206,,,,
ROSN,2020,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,6,Q,МСФО,1000000000,RUB,42,165,-179,,,182,90,,,,,-140,-13,,,,
ROSN,2020,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,9,9M,МСФО,1000000000,RUB,625,501,-639,,,614,46,,,,,11,325,,,,
ROSN,2020,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,9,Q,МСФО,1000000000,RUB,242,160,-274,,,247,87,,,,,-5,119,,,,
ROSN,2020,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,12,6M,МСФО,1000000000,RUB,1362,322,-1329,,,418,571,,,,,944,219,,,,
ROSN,2020,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,12,Q,МСФО,1000000000,RUB,1120,162,-1055,,,171,484,,,,,949,100,,,,
ROSN,2020,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2020,12,Y,МСФО,1000000000,RUB,1745,663,-1694,,,785,530,,,,,960,425,,,,
ROSN,2020,12,Y,РСБУ,1000,RUB,-536890917,132707266,618497678,,,195984120,308624179,,,9062370952,8753746773,-732875037,,,,,
ROSN,2021,3,Q,МСФО,1000000,RUB,160000,155000,-165000,,,225000,-168000,,,,,-65000,190000,,,,
ROSN,2021,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,6,6M,МСФО,1000000000,RUB,453,318,-409,,,462,-323,,,,,-9,505,,,,
ROSN,2021,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,6,Q,МСФО,1000000000,RUB,293,163,-244,,,237,-155,,,,,56,315,,,,
ROSN,2021,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,9,9M,МСФО,1000000000,RUB,930,489,-892,,,724,51,,,,,206,880,,,,
ROSN,2021,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,9,Q,МСФО,1000000000,RUB,477,171,-483,,,262,374,,,,,215,375,,,,
ROSN,2021,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,12,6M,МСФО,1000000000,RUB,713,350,-889,,,587,304,,,,,126,539,,,,
ROSN,2021,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,12,Q,МСФО,1000000000,RUB,236,179,-406,,,325,-70,,,,,-89,164,,,,
ROSN,2021,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2021,12,Y,МСФО,1000000000,RUB,1166,668,-1298,,,1049,-19,314,,765,693,117,1044,,,,
ROSN,2021,12,Y,РСБУ,1000,RUB,-305412637,105464556,1023878126,,,233505250,-805352689,,,3833321200,4638673889,-538917887,,,,,
ROSN,2023,6,6M,МСФО,1000000000,RUB,984,375,-569,,,599,-415,,,430,391,385,434,,,,
ROSN,2023,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2023,9,9M,МСФО,1000000000,RUB,1946,581,-842,,,909,-1127,,,498,830,1037,,,,,
ROSN,2023,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2023,9,Q,МСФО,1000000000,RUB,962,206,-273,,,310,-712,,,68,439,652,,,,,
ROSN,2023,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2023,12,6M,МСФО,1000000000,RUB,1781,394,-624,,,698,-1122,,,443,1048,1083,993,,,,
ROSN,2023,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2023,12,Q,МСФО,1000000000,RUB,819,188,-351,,,388,-410,,,375,609,431,,,,,
ROSN,2023,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2023,12,Y,МСФО,1000000000,RUB,2765,769,-1193,,,1297,-1537,,,873,1439,1468,1427,,,,
ROSN,2023,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,3,Q,МСФО,1000000000,RUB,444,200,-268,,,269,-324,,,315,194,175,,,,,
ROSN,2024,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,6,6M,МСФО,1000000000,RUB,1087,402,-684,,,696,-469,,,661,493,391,700,,,,
ROSN,2024,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,6,Q,МСФО,1000000000,RUB,643,202,-416,,,427,-145,,,346,299,216,,,,,
ROSN,2024,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,9,9M,МСФО,1000000000,RUB,1770,616,-1030,,,1052,-737,,,1628,1204,718,1075,,,,
ROSN,2024,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,9,Q,МСФО,1000000000,RUB,683,214,-346,,,356,-268,,,967,711,327,375,,,,
ROSN,2024,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,12,6M,МСФО,1000000000,RUB,1378,446,-745,,,746,-237,,,1027,487,632,595,,,,
ROSN,2024,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,12,Q,МСФО,1000000000,RUB,695,232,-399,,,390,31,,,60,-224,305,220,,,,
ROSN,2024,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2024,12,Y,МСФО,1000000000,RUB,2465,848,-1429,,,1442,-706,,,1688,980,1023,1295,330,,,
ROSN,2024,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,3,Q,МСФО,1000000000,RUB,365,231,-403,,,382,140,,,1003,493,-17,,,,,
ROSN,2025,6,6M,МСФО,1000000000,RUB,916,457,-760,,,769,-135,,,1580,1016,147,173,21,,,
ROSN,2025,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,6,Q,МСФО,1000000000,RUB,551,226,-357,,,387,-275,,,577,523,164,,,,,
ROSN,2025,9,9M,МСФО,1000000000,RUB,,713,,,,1118,,,,,,-1118,591,,,,
ROSN,2025,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,9,Q,МСФО,1000000000,RUB,,256,,,,349,,,,,,-1265,418,,,,
ROSN,2025,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,12,6M,МСФО,1000000000,RUB,,512,,,,,,,,,,,,,,,
ROSN,2025,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,12,Q,МСФО,1000000000,RUB,,256,,,,,,,,,,,,,,,
ROSN,2025,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,12,Y,МСФО,1000000000,RUB,,969,,,,,,,,,,,,,,,
ROSN,2025,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2025,12,YTM,МСФО,1000000000,RUB,,969,,,,,,,,,,,,,,,
ROSN,2025,12,YTM,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
